"topProjectText","Organization","Metric","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027"
"Other Navy projects","Navy","Amount_OMB23_GDP21",2943948.34837038,2970487.98897608,1088375.73120979,9264463.19567936,34473266.9561047,21109261.1704574,14432031.8998264,26091636.3124181,25442786.6484468,26509517.8928624,27120707.7436954,36427075.11359,24910674.8105381,25987960.2302203,26354674.0046121,18373389.0778252,33964543.8800204,27390977.1074248,29859286.8333625,,43970632.165995,47794163.5284714,27770860.6081727,16543000,41053392.199956,22367859.6514773,8350010.70072419,8423215.74204672,8474848.55556627,8899748.7478608
"Other Air Force
projects","Air Force","Amount_OMB23_GDP21",85101648.3533799,90544699.4389223,99612512.7212753,102530519.465744,144706624.993117,140502027.346596,111915243.116419,89630539.6364525,117176045.390974,149959759.168221,138125882.198978,162556298.331812,189988660.849896,144120513.348519,166215844.029088,86257411.174145,101355401.826182,65499435.2403911,122757924.769612,116668149.956833,141635074.508274,131099624.089097,142535940.953474,85828000,109893873.611762,72027000.0075818,49369074.5916075,60629354.6829539,60603655.0791727,95662929.0896351
"F135","Air Force","Amount_Then_Year",,,,,410790765.170838,349783465.498224,363586941.655123,468796368.75771,388225257.48553,304708912.56932,333192743.617734,280485686.848205,233576843.366238,173206689.14626,97626168.745129,169871983.249749,74282939.767992,99693618.4836,61126070.967144,52307692.32,,,,,,,,,,
"F135","Navy","Amount_Then_Year",,,,,352451234.829162,483343534.501776,505382058.344877,487585631.24229,353729742.51447,449537087.43068,321065256.382266,226723313.151795,224752156.633762,202421310.85374,179932831.254871,170347016.750251,74543060.232008,100526381.5164,62071929.032856,67692307.68,,,,,,,,,,
"F136","Air Force","Amount_Then_Year",,,,,14489373.212119,92708717.279504,59237915.306126,104031224.90196,180164188.74112,137878231.7318,236101285.235907,235239923.44055,211963051.736196,31949548.69596,1758656.155,,,,,,,,,,,,,,,
"F136","Navy","Amount_Then_Year",,,,,12431626.787881,128108282.720496,82340084.693874,108200775.09804,164155811.25888,203411768.2682,227507714.764093,190150076.55945,203954948.263804,37338451.30404,3241343.845,,,,,,,,,,,,,,,
"Aircraft Engine
Component
Improvement Program
(USAF)","Air Force","Amount_Then_Year",93487000,93338000,151546000,154308000,163498000,174205000,169947000,141803000,146527000,152969000,158560000,146359000,147200000,115290000,136516000,113829000,70070000,78674000,73763000,75523000,74464000,74464000,75283000,93644000,75754000,86538000,3671000,17314000,13097000,49379000
"Adaptive Engine
Transition
Program/Next Gen
Adaptive Propulsion","Air Force","Amount_Then_Year",,,,,,,,,,,,,,,,82278000,48194000,79887000,221603000,287679000,565450000,696099000,647850000,642581000,583712000,353658000,757468000,917761000,937646000,955867000
"Aircraft Engine
Component
Improvement Program
(USN)","Navy","Amount_Then_Year",35338000,42704000,35990000,36963000,34292000,28385000,47523000,50431000,65823000,57370000,56277000,57878000,63769000,50161000,60673000,51589000,59040000,59212000,73811000,89303000,91528000,102231000,96317000,106239000,101313000,111812000,118966000,111851000,112883000,114852000
"Materials for
Structures,
Propulsion, and
Subsystems","Air Force","Amount_Then_Year",39766000,41812000,50451000,62036000,60490000,65429000,62966000,71274000,73687000,70723000,65942000,79314000,109378000,85962000,88824000,60945000,53490000,35119000,54699000,57300000,62934000,83861000,100544000,109001000,104876000,52794000,51077000,54207000,55514000,56879000
"Turbine Engine
Technology","Air Force","Amount_Then_Year",31682000,34782000,38979000,40168000,46144000,36092000,31341000,33769000,33107000,48345000,60816000,85675000,60738000,64278000,70515000,91999000,75740000,55773000,62716000,50776000,53304000,48640000,50601000,61176000,68350000,68146000,69777000,70973000,72441000,74018000
"Improved Turbine
Engine Program","Army","Amount_Then_Year",,,,,,,,,,,,,,,,,,49328000,49137000,111638000,167532000,173766000,197941000,232159000,260024000,228036000,205191000,133473000,111068000,69591000
"Aircraft Propulsion
Subsystems Int","Air Force","Amount_Then_Year",22253000,25150000,18912000,33267000,34672000,33809000,26887000,21026000,31996000,27413000,25870000,44678000,38383000,40066000,17240000,69342000,67880000,51389000,74654000,17896000,16341000,18961000,18016000,,11610000,31576000,40800000,44589000,45590000,46605000
"Other Army projects","Army","Amount_Then_Year",13677000,17937000,16183000,18295000,30380000,19192000,17464000,23170000,15333000,15077000,17388000,19144000,25555000,19911000,18373000,18760000,19220000,20235000,20629000,18681000,3582000,26458000,15349000,30234000,27705000,27454000,28040000,30258000,30266000,30259000
"Other Navy projects","Navy","Amount_Then_Year",1845000,1884000,708000,6187000,23380000,14733000,10340000,19335000,19517000,20902000,22128000,29677000,20659000,22063000,22810000,16128000,30290000,24558000,26939000,,41261000,45639000,27057000,16543000,43132000,24056000,9184000,9465000,9735000,10448000
"Other Air Force
projects","Air Force","Amount_Then_Year",53334000,57427000,64799000,68472000,98141000,98062000,80183000,66420000,89885000,118239000,112698000,132434000,157562000,122354000,143860000,75716000,90390000,58725000,110752000,107035000,132907000,125188000,138872000,85828000,115458000,77463000,54300000,68128000,69615000,112305000
