"Fiscal_Year","Contracting_Agency_ID","fundingrequestingagencyid","ContractingOfficeID","fundingrequestingofficeid","PlatformPortfolio","ProjectID","ProductOrServiceCode","ClaimantProgramCode","CompetitionClassification","ClassifyNumberOfOffers","PricingMechanism","research_code","VendorSize","ParentID","dunsnumber","CSIStransactionID","CSIScontractID","idvpiid","idvagencyid","agencyid","PIID","NumberOfActions","Action_Obligation_Then_Year","progsourceagency","progsourceaccount","progsourcesubacct","account_title","rec_flag","treasury_accounts_funding_this_award","federal_accounts_funding_this_award","usaspending_permalink","MainAccountTitle","ContractingAgencyName","Customer","SubCustomer","SubCustomer.sum","SubCustomer.platform","Competition.detail","Competition.sum","Competition.Graph","Competition.effective.only","Competition.multisum","No.Competition.sum","No.Competition.Offer","CompOffr","ProductOrServiceCodeText","SimpleArea","ProductOrServiceArea","ProductServiceOrRnDarea","CrisisProductOrServiceArea","Project.Name","IsUnknown","SubCustomer.JPO","Shiny.VendorSize","Action_Obligation_OMB23_GDP21","dFYear","descriptionofcontractrequirement","recipient_uei","recipient_parent_uei","parentdunsnumber","vendorname","standardizedvendorname","principalnaicscode"
2018,"1700","1700","N68335","N68335","Aircraft",84,"6140","A1C","No Competition (Other Exception)","No competition","Cost Plus Fixed Fee","SR3","Small",NA,"142784276",94512595,72258420,"N6833518D0002","9700",9700,"N6833518F0130",1,844624.9375,NA,NA,NA,NA,NA,"017-2019/2021-1506-000","017-1506","https://www.usaspending.gov/#/award/CONT_AWD_N6833518F0130_9700_N6833518D0002_9700/",NA,"DEPT OF THE NAVY","Defense","Navy","Navy","Navy","No Comp. (Other)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Other)","No Comp. (Other)","No Comp.","BATTERIES, RECHARGEABLE","Products","Engines & Power Plants","Engines & Power Plants","Engines & Power Plants","MH-60R",0,"Navy","Small",900091.913551271,2018-01-01,"NON-RECURRING ENGINEERING (NRE)","J5KAG8MBP5Q5",NA,142784276,"CORNERTURN, LLC","CORNERTURN",335912
2017,"1700","1700","N68335","N68335","Aircraft",NA,"6620","A1C","No Competition (Other Exception)","No competition","Cost Plus Fixed Fee","ST3","Small",NA,"161183322",68256156,60352799,"N6833512G0006","9700",9700,"0003",1,25000.0195,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE NAVY","Defense","Navy","Navy","Navy","No Comp. (Other)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Other)","No Comp. (Other)","No Comp.","ENGINE INSTRUMENTS","Products","Engines & Power Plants","Engines & Power Plants","Engines & Power Plants",NA,NA,"Navy","Small",27250.0212449175,2017-01-01,"IGF::OT::IGF",NA,NA,161183322,"P C KRAUSE AND ASSOCIATES INC","PC KRAUSE & ASSOCIATES",541712
2008,"5700","5700","FA8650","FA8650","Aircraft",NA,"AC13","A1B","Competition with single offer","One Offer","Cost Plus Fixed Fee","SR3","Small","AEROVIRONMENT","058024456",25643639,10096236,"FA865007D2701","9700",9700,"0005",1,374394,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","1 Offer","1 Offer",TRUE,"Not Effective Comp.","1 Offer","1 Offer","1 Offer","1 Offer","DEFENSE AIRCRAFT (ADVANCED)","R&D","R&D","Advanced Technology Development (6.3)","R&D",NA,NA,"Air Force","Small",458867.961632008,2008-01-01,"ADVANCED ENERGY STORAGE AND PROPULSION SYSTEMS FOR UNMANNED AERIAL VEHICLES",NA,NA,58024456,"AEROVIRONMENT INCORPORATED","AEROVIRONMENT",541710
2021,"5700","5700","FA8117","F3YCAB","Aircraft",NA,"J066","A1B","Limited Competition with multiple offers","Two Offers","Firm Fixed Price","SR3","Small",NA,"010996890",107017272,87648241,"FA811720D0025","9700",9700,"FA811721F0133",1,0,NA,NA,NA,NA,NA,"","","https://www.usaspending.gov/award/CONT_AWD_FA811721F0133_9700_FA811720D0025_9700/",NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","2 Offers","2 Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","MAINT-REP OF INSTRUMENTS & LAB EQ","Services","ERS","ERS","ERS",NA,NA,"Air Force","Small",0,2021-01-01,"REALIGNMENT MOD FOR FA811721F0133 REPAIR OF T38 RATE OF FLOW TRANSMITTER.","Z2X6JNJKXEP8","Z2X6JNJKXEP8",10996890,"GYRO HOUSE, THE","GYRO HOUSE",336413
2021,"5700","5700","FA8117","F3YCAB","Aircraft",NA,"J066","A1B","Limited Competition with multiple offers","Two Offers","Firm Fixed Price","SR3","Small",NA,"010996890",107017229,87648218,"FA811720D0025","9700",9700,"FA811721F0107",1,307200,NA,NA,NA,NA,NA,"","","https://www.usaspending.gov/award/CONT_AWD_FA811721F0107_9700_FA811720D0025_9700/",NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","2 Offers","2 Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","MAINT-REP OF INSTRUMENTS & LAB EQ","Services","ERS","ERS","ERS",NA,NA,"Air Force","Small",307200,2021-01-01,"REPAIR OF RATE OF FLOW TRANSMITTER","Z2X6JNJKXEP8","Z2X6JNJKXEP8",10996890,"GYRO HOUSE, THE","GYRO HOUSE",336413
2021,"1700","1700","N68335","N68335","Aircraft",84,"6140","A1C","No Competition (Other Exception)","No competition","Cost Plus Fixed Fee","SR3","Small",NA,"142784276",104907782,72258420,"N6833518D0002","9700",9700,"N6833518F0130",1,0,NA,NA,NA,NA,NA,"017-2019/2021-1506-000","017-1506","https://www.usaspending.gov/award/CONT_AWD_N6833518F0130_9700_N6833518D0002_9700/",NA,"DEPT OF THE NAVY","Defense","Navy","Navy","Navy","No Comp. (Other)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Other)","No Comp. (Other)","No Comp.","BATTERIES, RECHARGEABLE","Products","Engines & Power Plants","Engines & Power Plants","Engines & Power Plants","MH-60R",0,"Navy","Small",0,2021-01-01,"MOD","J5KAG8MBP5Q5","J5KAG8MBP5Q5",142784276,"CORNERTURN, LLC","CORNERTURN",335912
2016,"2100","2100","W58RGZ","W58H0Z","Aircraft",54,"AC14","A1B","No Competition (Only One Source Exception)","No competition","Firm Fixed Price","SR3","Large","HONEYWELL","962134727",63349947,24580623,"W58RGZ10D0141","9700",9700,"0009",1,-13531.4404,21,"2031","",NA,"",NA,NA,NA,"AIRCRAFT PROCUREMENT, ARMY","DEPT OF THE ARMY","Defense","Army","Army","Army","No Comp. (Only 1 Source)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)","No Comp.","DEFENSE AIRCRAFT (ENGINEERING)","R&D","R&D","Advanced Component Development & Prototypes (6.4)","R&D","APACHE (AH-64A)",0,"Army","Large",-14998.2983842069,2016-01-01,"DEOBLIGATION OF EXCESS FUNDS FROM SUBCLIN 2002AA IN THE AMOUNT OF ($13,531.44).","DZ4PGK2VWSA3",NA,139691877,"HONEYWELL INTERNATIONAL INC.","HONEYWELL INTERNATIONAL",811219
2015,"1700","1700","N68335","N68335","Aircraft",NA,"6620","A1C","No Competition (Other Exception)","No competition","Cost Plus Fixed Fee","ST3","Small",NA,"161183322",42129864,60352799,"N6833512G0006","9700",NA,"0003",1,512690,17,"1506","",NA,"",NA,NA,NA,"AIRCRAFT PROCUREMENT, NAVY","DEPT OF THE NAVY","Defense","Navy","Navy","Navy","No Comp. (Other)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Other)","No Comp. (Other)","No Comp.","ENGINE INSTRUMENTS","Products","Engines & Power Plants","Engines & Power Plants","Engines & Power Plants",NA,NA,"Navy","Small",571833.213340078,2015-01-01,"POWER SUPPLY TEST UNIT",NA,NA,161183322,"P C KRAUSE AND ASSOCIATES INC","PC KRAUSE & ASSOCIATES",541712
2011,"2100","2100","W58RGZ","W58H0Z","Aircraft",54,"AC14","A1B","No Competition (Only One Source Exception)","No competition","Firm Fixed Price","SR3","Large","HONEYWELL","962134727",29831624,24580623,"W58RGZ10D0141","9700",9700,"0009",1,503549.3125,21,"2031","",NA,"",NA,NA,NA,"AIRCRAFT PROCUREMENT, ARMY","DEPT OF THE ARMY","Defense","Army","Army","Army","No Comp. (Only 1 Source)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)","No Comp.","DEFENSE AIRCRAFT (ENGINEERING)","R&D","R&D","Advanced Component Development & Prototypes (6.4)","R&D","APACHE (AH-64A)",0,"Army","Large",593129.651779213,2011-01-01,"DELIVERY ORDER","DZ4PGK2VWSA3",NA,139691877,"HONEYWELL INTERNATIONAL INC","HONEYWELL INTERNATIONAL",811219
2008,"5700","5700","FA8650","FA8650","Aircraft",NA,"AC12","A1B","Competition with single offer","One Offer","Cost Plus Fixed Fee","SR3","Small",NA,"196694640",5767935,9881011,"F3361501D2114","9700",9700,"0005",1,0,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","1 Offer","1 Offer",TRUE,"Not Effective Comp.","1 Offer","1 Offer","1 Offer","1 Offer","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Air Force","Small",0,2008-01-01,"CHANGE IN HARDWARE",NA,NA,196694640,"ADVANCED PROJECTS RESEARCH, IN","ADVANCED PROJECTS RESEARCH",541710
2020,"1700","1700","N68335","N68335","Aircraft",84,"6140","A1C","No Competition (Other Exception)","No competition","Cost Plus Fixed Fee","SR3","Small",NA,"142784276",86831381,72258420,"N6833518D0002","9700",9700,"N6833518F0130",1,456000,NA,NA,NA,NA,NA,"017-2019/2021-1506-000","017-1506","https://www.usaspending.gov/#/award/CONT_AWD_N6833518F0130_9700_N6833518D0002_9700/",NA,"DEPT OF THE NAVY","Defense","Navy","Navy","Navy","No Comp. (Other)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Other)","No Comp. (Other)","No Comp.","BATTERIES, RECHARGEABLE","Products","Engines & Power Plants","Engines & Power Plants","Engines & Power Plants","MH-60R",0,"Navy","Small",468030.913897577,2020-01-01,"EXTENSION OF POP AND INCREASE CEILING DUE","J5KAG8MBP5Q5",NA,142784276,"CORNERTURN, LLC","CORNERTURN",335912
2008,"5700","5700","FA8650","FA8650","Aircraft",NA,"AC13","A1B","Competition with single offer","One Offer","Cost Plus Fixed Fee","SR3","Small","AEROVIRONMENT","058024456",2373364,10096234,"FA865007D2701","9700",9700,"0003",1,119928,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","1 Offer","1 Offer",TRUE,"Not Effective Comp.","1 Offer","1 Offer","1 Offer","1 Offer","DEFENSE AIRCRAFT (ADVANCED)","R&D","R&D","Advanced Technology Development (6.3)","R&D",NA,NA,"Air Force","Small",146987.176350592,2008-01-01,"ADVANCED ENERGY STORAGE AND PROPULSION SYSTEMS FOR UNMANNED AERIAL VEHICLES",NA,NA,58024456,"AEROVIRONMENT INCORPORATED","AEROVIRONMENT",541710
2018,"1700","1700","N68335","N68335","Aircraft",84,"6140","A1C","No Competition (Other Exception)","No competition","Cost Plus Fixed Fee","SR3","Small",NA,"142784276",94512597,72258420,"N6833518D0002","9700",9700,"N6833518F0130",1,483796.7813,NA,NA,NA,NA,NA,"017-2019/2021-1506-000","017-1506","https://www.usaspending.gov/#/award/CONT_AWD_N6833518F0130_9700_N6833518D0002_9700/",NA,"DEPT OF THE NAVY","Defense","Navy","Navy","Navy","No Comp. (Other)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Other)","No Comp. (Other)","No Comp.","BATTERIES, RECHARGEABLE","Products","Engines & Power Plants","Engines & Power Plants","Engines & Power Plants","MH-60R",0,"Navy","Small",515567.977354757,2018-01-01,"PROCURE CLIN 0008","J5KAG8MBP5Q5",NA,142784276,"CORNERTURN, LLC","CORNERTURN",335912
2021,"5700","5700","FA8117","F3YCAB","Aircraft",NA,"J066","A1B","Limited Competition with multiple offers","Two Offers","Firm Fixed Price","SR3","Small",NA,"010996890",107016985,87648085,"","",9700,"FA811720D0025",NA,0,NA,NA,NA,NA,NA,"","","https://www.usaspending.gov/award/CONT_IDV_FA811720D0025_9700/",NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","2 Offers","2 Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","MAINT-REP OF INSTRUMENTS & LAB EQ","Services","ERS","ERS","ERS",NA,NA,"Air Force","Small",0,2021-01-01,"REPAIR OF T-38 RATE OF FLOW TRANSMITTERS","Z2X6JNJKXEP8","Z2X6JNJKXEP8",10996890,"GYRO HOUSE, THE","GYRO HOUSE",336413
2017,"9763","2100","S0514A","W58RGZ","Aircraft",54,"AC14","A1B","No Competition (Only One Source Exception)","No competition","Firm Fixed Price","SR3","Large","HONEYWELL","962134727",70793075,24580623,"W58RGZ10D0141","9700",9700,"0009",1,-7268.5601,21,"2031","",NA,"",NA,NA,NA,"AIRCRAFT PROCUREMENT, ARMY","DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","Defense","Other DoD","Other DoD","Other DoD","No Comp. (Only 1 Source)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)","No Comp.","DEFENSE AIRCRAFT (ENGINEERING)","R&D","R&D","Advanced Component Development & Prototypes (6.4)","R&D","APACHE (AH-64A)",0,"Other DoD","Large",-7922.73050606859,2017-01-01,"DELIVERY ORDER","DZ4PGK2VWSA3",NA,139691877,"HONEYWELL INTERNATIONAL INC.","HONEYWELL INTERNATIONAL",811219
2012,"2100","2100","W58RGZ","W58H0Z","Aircraft",54,"AC14","A1B","No Competition (Only One Source Exception)","No competition","Firm Fixed Price","SR3","Large","HONEYWELL","962134727",23959749,24580623,"W58RGZ10D0141","9700",9700,"0009",1,0,21,"2031","",NA,"",NA,NA,NA,"AIRCRAFT PROCUREMENT, ARMY","DEPT OF THE ARMY","Defense","Army","Army","Army","No Comp. (Only 1 Source)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)","No Comp.","DEFENSE AIRCRAFT (ENGINEERING)","R&D","R&D","Advanced Component Development & Prototypes (6.4)","R&D","APACHE (AH-64A)",0,"Army","Large",0,2012-01-01,"AUTHORIZE PERIOD OF PERFORMANCE (POP) EXTENSION AT NO COST TO THE USG.","DZ4PGK2VWSA3",NA,139691877,"HONEYWELL INTERNATIONAL INC.","HONEYWELL INTERNATIONAL",811219
2007,"5700","5700","FA8650","FA8650","Aircraft",NA,"AC12","A1B","Competition with single offer","One Offer","Cost Plus Fixed Fee","SR3","Small",NA,"196694640",20588450,9881010,"F3361501D2114","9700",9700,"0004",1,0,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","1 Offer","1 Offer",TRUE,"Not Effective Comp.","1 Offer","1 Offer","1 Offer","1 Offer","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Air Force","Small",0,2007-01-01,"CLARIFICATION OF DELIVERABLES",NA,NA,196694640,"ADVANCED PROJECTS RESEARCH, IN","ADVANCED PROJECTS RESEARCH",541710
2001,"5700","5700","GR06","","Aircraft",NA,"AC13","A1B","Competition with single offer","One Offer","Cost Plus Fixed Fee","SR3","Small",NA,"196694640",59429085,63033646,"F3361501D2114","9700",9700,"0001",1,3e+06,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","1 Offer","1 Offer",TRUE,"Not Effective Comp.","1 Offer","1 Offer","1 Offer","1 Offer","DEFENSE AIRCRAFT (ADVANCED)","R&D","R&D","Advanced Technology Development (6.3)","R&D",NA,NA,"Air Force","Small",4492223.95135576,2001-01-01,"200112!000164!5700!GR06  !AFRL/PRKA AEROSPACE POWER FUELS !F3361501D2114  !A!N!*!N!0001               !20010906!20070822!196694640!196694640!196694640!N!ADVANCED PROJECTS RESEARCH, IN!1925 MCKINLEY AVE STE B   !LA VERNE            !CA!91750!40830!037!06!LA VERNE            !LOS ANGELES           !CALIFORNIA!+000003000000!N!N!000000000000!AC13!RDTE/AIRCRAFT-ADV TECH DEV                        !A1B!AIRCRAFT ENGINES AND SPARES   !3000!NOT DISCERNABLE OR CLASSIFIED !541710!*!*!5!B!S! !*!*!*!B!*!*!N!Z!A !N!U!2!001!K!  !Z!Y!Z!  !  !N!B!Y!N! ! !Z! !B!A!000!D!B!N! ! ! ! !    !      !0001!",NA,NA,196694640,"ADVANCED PROJECTS RESEARCH, IN","ADVANCED PROJECTS RESEARCH",541710
