Line#,Type,PE#,Project#,PE/Project/Accomplishments/Planned Programs Title,BA#,Description,Prior Years,FY 2019,FY 2020,FY 2021 Base,FY 2021 OCO,FY 2021 Total,FY 2022,FY 2023,FY 2024,FY 2025,Program Element Name,Organization,Notes
19,PE,0603033F,,Next Gen Platform Dev/Demo,3,"This program develops and conducts technology platform demonstrations that provide compelling advantage to the warfighter. The technologies address enabling and enduring Air Force requirements as well as integrated enterprise transformational capabilities intended to reshape the future force. This Program includes space platform technologies, including payloads, protection, vehicles, systems survivability, and in-space propulsion; flight vehicle technologies, including hypersonic flight regime and manned/unmanned systems; propulsion technologies, including turbine-based, high speed/hypersonic, advanced-cycle, space and missile propulsion; and system component technologies, including controls, electrical power, and thermal management. Efforts in this program have been coordinated through the Department of Defense Science and Technology Executive Committee process to harmonize efforts and eliminate duplication.  In the FY 2021, the Air Force is consolidating its existing thirteen Advanced Technology Development (ATD), Research Development Test and Evaluation (RDT&E), Budget Activity 03 (BA 03) PEs into five new capability focused RDT&E BA 03 PEs to better align with the Air Force Science and Technology (S&T) Strategy signed by the Secretary of the Air Force in April 2019. This consolidation will improve and accelerate delivery of integrated transformational, multidisciplinary, collaborative technology solutions necessary to enable new Air Force warfighting capabilities that support of the National Defense Strategy. This new structure will provide the Air Force and Congress with a clearer understanding and increased transparency of integrated technology solutions and demonstrations key to enabling the Air Force future force design.  In FY 2021, the entirety of 633834, Integrated Space Technology Demonstrations, is transferred from PE 0603401F, Advanced Spacecraft Technology, to PE 0603033F, Next Gen Platform Dev/Demo, with the exception of the work and funding that is associated with the Navigation Technology Satellite-3 Vanguard demonstration which will be realigned to the PE 0603032F, Future AF Integrated Technology Demos, Project 630320, Air Force Vanguards.  In FY 2021, the entirety of Project 63682J, Spacecraft Vehicles, is transferred from PE 0603401F, Advanced Spacecraft Technology, to PE 0603033F, Next Gen Platform Dev/Demo.  In FY 2021, the entirety of Project 634920, Flight Vehicle Tech Integration, is transferred from PE 0603211F, Aerospace Technology Dev/Demo, to PE 0603033F, Next Gen Platform Dev/Demo, with the exception of the work and funding associated with the Skyborg Vanguard demonstration which will be realigned to thePE 0603032F, Future AF Integrated Technology Demos, Project 630320, Air Force Vanguards.  In FY 2021, the entirety of Project 634926, High Speed/Hypersonic Integration & Demonstrations, is transferred from PE 0603211F, Aerospace Technology Dev/Demo, to PE 0603033F, Next Gen Platform Dev/Demo.  In FY 2021,the entirety of Project 634927, Flight Systems Control, is transferred from PE  0603211F, Aerospace Technology Dev/Demo, to PE 0603033F, Next Gen Platform Dev/Demo, Project 634927, Flight Systems Control, with the exception of the work and funding associated with the Skyborg Vanguard demonstration which will be realigned to the PE 0603032F, Future AF Integrated Technology Demos.  In FY 2021, the entirety of Project 634921, Aircraft Propulsion Subsystems Integration, is transferred from PE 0603216F, Aerospace Propulsion and Power Technology, to PE 0603033F, Next Gen Platform Dev/Demo, with the exception of funding associated with Skyborg Vanguard demonstration which will be realigned to the PE 0603032F, Future AF Integrated Technology Demos, Project 630320, Air Force Vanguards.  In FY 2021, the entirety of Project 633035, Aerospace Power Technology; Project 63681B, Advanced Turbine Engine Gas Generator; Project 634922, Space & Missile Rocket Propulsion; and Project 635098, Advanced Aerospace Propulsion, are transferred from PE 0603216F, Aerospace Propulsion and Power Technology, to PE 0603033F, Next Gen Platform Dev/Demo.  All these transfers detailed above are part of the Air Force RDT&E BA 03 PE consolidation in order to realign technology areas to better support the National Defense Strategy, Air Force Future Operating Concept, and Air Force S&T Strategy, April 2019. This is an administrative realignment and not a new start.   The Air Force Science and Technology portfolio will continued to be managed at the Enterprise level by the Air Force Technology Executive Officer, dual-hatted as the Air Force Research Laboratory (AFRL) Commander, and executed across the various AFRL Technology Directorates and locations.   This program element may include necessary civilian pay expenses required to manage, execute, and deliver science and technology capabilities.  The use of program funds in this PE would be in addition to the civilian pay expenses budgeted in program elements 0601102F, 0602102F, 0602201F, 0602202F, 0602203F, 0602204F, 0602602F, 0602605F, 0602788F, 1206601SF, and 0602298F.  This program is in Budget Activity 3, Advanced Technology Development because this budget activity includes development of subsystems and components and efforts to integrate subsystems and components into system prototypes for field experiments and/or tests in a simulated environment.",0,0,0,199.556,0,199.556,197.21,230.125,257.613,301.799,Next Gen Platform Dev/Demo,USAF,
19,Project,0603033F,634921,Aircraft Propulsion Subsystems Int,3,"This project develops and demonstrates technology to increase turbine engine operational reliability, durability, mission flexibility, and performance while reducing weight, fuel consumption, and cost of ownership. The Aircraft Propulsion Subsystems Integration (APSI) project includes demonstrator engines for manned systems and efficient small-scale propulsion for remotely piloted aircraft and cruise missile applications. The demonstrator engines integrate the core (high- pressure spool) technology developed under the Versatile Affordable Advanced Turbine Engines (VAATE) project with the engine (low-pressure spool) technology such as fans, turbines, engine controls, mechanical systems, exhaust nozzles, and augmentors. Additionally, this project includes activities to improve propulsion safety and readiness. This project also focuses on integration of inlets, nozzles, engine-to-airframe compatibility, and power and thermal management subsystems technologies. The APSI project provides aircraft with potential for longer range and higher cruise speeds with lower specific fuel consumption, surge power for successful engagements, high sortie rates with reduced maintenance, reduced life cycle cost, and improved survivability, resulting in increased mission effectiveness. Technologies developed are applicable to sustained high-speed vehicles and responsive space launch. The Aircraft Propulsion Subsystems Integration project is focused on improving propulsion capabilities while at the same time reducing the cost of ownership. Anticipated technology advances include turbine engine improvements providing approximately twice the range for a sustained supersonic combat aircraft, doubling the time on station with ten times the power output for surveillance aircraft and propulsion for a high speed supersonic missile with double the range for time sensitive targets. A portion of this project supports the demonstration of adaptive cycle technologies, which develop component technology for an adaptive cycle engine architecture that provides optimized performance, fuel efficiency, high power extraction, integrated thermal management, and durability for widely varying mission needs.  In FY 2021, Project 634921, Aircraft Propulsion Subsystems Int, Non-Vanguard efforts and activities are transferred from PE 0603216F, Aerospace Propulsion and Power Technology, to PE 0603033F, Next Gen Platform Dev/Demo, Project 634921, Aircraft Propulsion Subsystems Int, as part of the Air Force RDT&E BA 03 PE consolidation in order to realign technology areas to better support the National Defense Strategy, Air Force Future Operating Concept and Air Force S&T Strategy, April 2019. The Project and associated Non-Vanguard efforts and activities will continue to be managed by the Air Force Research Laboratory Aerospace Systems Technology Directorate located in Wright Patterson, OH. This is an administrative realignment for consolidation, and not a new start.",0,0,0,10.826,0,10.826,10.096,8.095,18.855,19.236,Next Gen Platform Dev/Demo,USAF,
19,Project,0603033F,635098,Advanced Aerospace Propulsion,3,"This project develops and demonstrates, via ground and flight tests, the scramjet propulsion cycle to a technology readiness level appropriate for full integration with other engine cycles (including turbine and rocket-based) to provide the Air Force with transformational military capabilities. The primary focus is on the hydrocarbon- fueled, scramjet engine. Multi-cycle engines will provide the propulsion systems for possible application to support aircraft and weapon platforms operating up to Mach 7. Efforts include: scramjet flow-path optimization to enable operation over the widest possible range of Mach numbers; active combustion control to assure continuous positive thrust (even during mode transition); robust flame-holding to maintain stability through flow distortions; and maximized volume-to-surface area to minimize the thermal load imposed by the high-speed engine. Thermal management plays a vital role in scramjet and combined cycle engines, including considerations for protecting low speed propulsion systems (e.g., turbine engines) during hypersonic flight.  In FY 2021, the entirety of Project 635098, Advanced Aerospace Propulsion, is transferred from PE 0603216F, Aerospace Propulsion & Power Technology, to PE 0603033F, Next Gen Platform Demo, Project 635098, Advanced Aerospace Propulsion, as part of the Air Force RDT&E BA 03 PE consolidation in order to realign technology areas to better support the National Defense Strategy, Air Force Future Operating Concept, and Air Force Science and Technology Strategy, April 2019.  The Project and associated efforts will continue to be managed by the Air Force Research Laboratory Aerospace Systems Technology Directorate located in Wright Patterson Air Force Base, Ohio. This is an administrative realignment for consolidation, and not a new start.",0,0,0,20.931,0,20.931,22.428,11.94,20.441,35.709,Next Gen Platform Dev/Demo,USAF,
19,Project,0603033F,63681B,Advanced Turbine Engine Gas Generator,3,"This project develops and demonstrates technology to increase turbine engine operational reliability, durability, mission flexibility, and performance while reducing weight, fuel consumption, and cost of ownership. The objective is to provide continuous evolution of technologies into an advanced gas generator in which the performance, cost, durability, repairability, and maintainability can be assessed in a realistic engine environment. The gas generator, or core, is the basic building block of the engine and nominally consists of a compressor, a combustor, a high-pressure turbine, mechanical systems, and core subsystems. Experimental core engine demonstration validates engineering design tools and enhances rapid, low-risk transition of key engine technologies into engineering development, where they can be applied to derivative and/or new systems. These technologies are applicable to a wide range of military and commercial systems including aircraft, missiles, land combat vehicles, ships, and responsive space launch. Component technologies are demonstrated in a core (sub-engine). This project also assesses the impact of low spool components such as; inlet systems, fans, low pressure turbines, exhaust systems, and system level technologies such as; integrated power generators and thermal management systems on core engine performance, and durability in ground demonstrations of engine cores. The core performances of this project are validated on demonstrator engines in the Aircraft Propulsion Subsystem Integration Project of this program. A portion of this project supports the demonstration of adaptive cycle technologies, which develop component technology for an adaptive cycle engine architecture that provides optimized performance, fuel efficiency, and durability for widely varying mission needs.  In FY 2021, the entirety of Project 63681B, Advanced Turbine Engine Gas Generator, is transferred from PE 0603216F, Aerospace Propulsion & Power Technology, to PE 0603033F, Next Gen Platform Dev/Demo, Project 63681B, Advanced Turbine Engine Gas Generator, as part of the Air Force RDT&E, BA 03 PE consolidation in order to realign technology areas to better support the National Defense Strategy, Air Force Future Operating Concept, and Air Force Science and Technology Strategy, April 2019.  The Project and associated efforts will continue to be executed by the Air Force Research Laboratory Aerospace Systems Technology Directorate located in Wright Patterson Air Force Base, Ohio. This is an administrative realignment for consolidation, and not a new start.",0,0,0,22.176,0,22.176,22.82,23.403,23.972,24.458,Next Gen Platform Dev/Demo,USAF,
26,PE,0603216F,,Aerospace Propulsion and Power Technology,3,"This program develops and demonstrates technologies to achieve enabling and revolutionary advances in turbine, advanced-cycle, rocket, and space propulsion as well as electrical power, thermal management, and fuels.  The program has six projects, each focusing on technologies with a high potential to enhance the performance of existing and future Air Force weapon systems.  The Aerospace Fuels project develops and demonstrates improved hydrocarbon fuels and advanced propulsion systems, including those for air-breathing, high-speed/hypersonic flight.  The Aerospace Power Technology project develops and demonstrates adaptive power and thermal management components, controls, and systems for high-power payloads and aircraft as part of energy-optimized aircraft development.  The Aircraft Propulsion Subsystems Integration project develops demonstrator engines by integrating the engine cores demonstrated in the Advanced Turbine Engine Gas Generator project with low-pressure components.   The Space and Missile Rocket Propulsion project develops and demonstrates innovative rocket propulsion technologies, propellants, and manufacturing techniques.  The Advanced Aerospace Propulsion project develops the scramjet propulsion cycle to a technology readiness level appropriate for in-flight demonstration and for full integration with other engine cycles (including turbine and rocket based).  The Advanced Turbine Engine Gas Generator project develops and demonstrates core turbine engine technologies for current and future aircraft propulsion systems.  Portions of the Aerospace Fuels, Aircraft Propulsion Subsystems Integration, and Advanced Turbine Gas Generator  projects support adaptive cycle technology demonstrations, which develop component technology for an adaptive cycle engine architecture that provides optimized performance, fuel efficiency, and durability for widely varying mission needs.  Projects in this program have been coordinated through the Department of Defense (DoD) Science and Technology (S&T) Executive Committee process to harmonize efforts and eliminate duplication.  In FY 2021, the efforts and activities under Project 632480, Aerospace Fuels, will be transferred from PE 0603216F, Aerospace Propulsion and Power Technology to PE 0602201F, Aerospace Vehicle Technologies, Project 625330, Aerospace Fuel Technology, in order to consolidate Aerospace Fuel research for increased transparency for Congress.  In the FY 2021, the Air Force is consolidating its existing thirteen Advanced Technology Development (ATD), Research Development Test and Evaluation (RDT&E), Budget Activity 03 (BA 03) PEs into five new capability focused RDT&E BA 03 PEs to better align with the Air Force Science and Technology (S&T) Strategy signed by the SECAF in April 2019. This consolidation will improve and accelerate delivery of integrated transformational, multidisciplinary, collaborative technology solutions necessary to enable new Air Force warfighting capabilities that support of the National Defense Strategy. This new structure will provide the Air Force and Congress with a clearer understanding and increased transparency of integrated technology solutions and demonstrations key to enabling the Air Force future force design.   In FY 2021, the entirety of Project 633035, Aerospace Power Technology; Project 634922, Space & Missile Rocket Propulsion; Project 635098, Advanced Aerospace Propulsion, and Project 63681B, Advanced Turbine Engine Gas Generator, will be transferred from PE 0603216F, Aerospace Propulsion and Power Technology, to PE 0603033F, Next Gen Platforms Dev/Demo.  In FY 2021, Project 634921, Aircraft Propulsion Subsystems Int, non-Vanguard efforts and activities will be transferred from PE 0603216F, Aerospace Propulsion Subsystems Int, to PE 0603033F, Next Gen Platforms Dev/Demo.  Skyborg Vanguard activities under this Project will be consolidated and transferred in FY 2021 from PE 0603216F, Aerospace Propulsion and Power, to PE 0603032F, Future AF Integrated Technology Demos, Project 630320, Air Force Vanguards.  All these transfers detailed above are part of the Air Force RDT&E BA 03 PE consolidation in order to realign technology areas to better support the National Defense Strategy, Air Force Future Operating Concept and Air Force S&T Strategy, April 2019. This is an administrative realignment and not a new start. This work will continue to be executed by the Air Force Research Laboratory Aerospace Systems Technology Directorate located in either Wright Patterson Air Force Base, Ohio or Edwards Air Force Base, California.   This program element may include necessary civilian pay expenses required to manage, execute, and deliver science and technology capabilities.  The use of program funds in this PE would be in addition to the civilian pay expenses budgeted in program elements 0601102F, 0602102F, 0602201F, 0602202F, 0602203F, 0602204F, 0602602F, 0602605F, 0602788F, 1206601SF, and 0602298F.  This program is in Budget Activity 3, Advanced Technology Development because this budget activity includes development of subsystems and components and efforts to integrate subsystems and components into system prototypes for field experiments and/or tests in a simulated environment.",0,140.247,170.973,0,0,0,0,0,0,0,Aerospace Propulsion and Power Technology,USAF,
26,Project,0603216F,632480,Aerospace Fuels,3,"This project evaluates and demonstrates improved hydrocarbon fuels, unique special application fuels, alternate fuels and advanced, novel aerospace propulsion technologies for Air Force applications, including high-speed and hypersonic flight and technologies to increase turbine engine operational reliability, durability, mission flexibility, and performance, while reducing weight, fuel consumption, and cost of ownership. The advanced fuel emphasis is on demonstrating new thermally stable, high-heat sink, and controlled chemically reacting fuels for a conventional turbine engine, turbine-based combined cycle engines, and other advanced propulsion systems. The project also evaluates and demonstrates fuel system components that minimize cost, reduce maintenance, and improve performance of future aerospace systems. The advanced propulsion emphasis is on demonstrating concepts for combined cycle, ramjet, and scramjet engines. A portion of this project supports the demonstration of adaptive cycle technologies. This project develops component technology for an adaptive cycle engine architecture that provides optimized performance, fuel efficiency, and durability for widely varying mission needs.  In FY 2021, the efforts and activities under Project 632480, Aerospace Fuels, will be transferred from PE 06030216F, Aerospace Propulsion and Power Technology to PE 0602201F, Aerospace Vehicle Technologies, Project 625330, Aerospace Fuel Technology to consolidate the Aerospace Fuels research increasing the transparency for Congress.  The transferred efforts and activities will continue to be executed by the Air Force Research Laboratory Aerospace Systems Technology Directorate located in Wright Patterson Air Force Base, Ohio. This is an administrative realignment for consolidation, and not a new start.",0,2.028,2.386,0,0,0,0,0,0,0,Aerospace Propulsion and Power Technology,USAF,
26,Project,0603216F,634921,Aircraft Propulsion Subsystems Int,3,"This project develops and demonstrates technology to increase turbine engine operational reliability, durability, mission flexibility, and performance while reducing weight, fuel consumption, and cost of ownership. The Aircraft Propulsion Subsystems Integration (APSI) project includes demonstrator engines for manned systems and efficient small-scale propulsion for remotely piloted aircraft and cruise missile applications. The demonstrator engines integrate the core (high- pressure spool) technology developed under the Versatile Affordable Advanced Turbine Engines (VAATE) project with the engine (low-pressure spool) technology such as fans, turbines, engine controls, mechanical systems, exhaust nozzles, and augmentors. Additionally, this project includes activities to improve propulsion safety and readiness. This project also focuses on integration of inlets, nozzles, engine-to-airframe compatibility, and power and thermal management subsystems technologies. The APSI project provides aircraft with potential for longer range and higher cruise speeds with lower specific fuel consumption, surge power for successful engagements, high sortie rates with reduced maintenance, reduced life cycle cost, and improved survivability, resulting in increased mission effectiveness. Technologies developed are applicable to sustained high-speed vehicles and responsive space launch. The Aircraft Propulsion Subsystems Integration project is focused on improving propulsion capabilities while at the same time reducing the cost of ownership. Anticipated technology advances include turbine engine improvements providing approximately twice the range for a sustained supersonic combat aircraft, doubling the time on station with ten times the power output for surveillance aircraft and propulsion for a high speed supersonic missile with double the range for time sensitive targets. A portion of this project supports the demonstration of adaptive cycle technologies, which develop component technology for an adaptive cycle engine architecture that provides optimized performance, fuel efficiency, high power extraction, integrated thermal management, and durability for widely varying mission needs.  In FY 2021, Project 634921, Aircraft Propulsion Subsystems Int, non-Vanguard efforts and activities will be transferred from PE 0603216F, Aerospace Propulsion and Power Technology, to PE 0603033F, Next Gen Platform Dev/Demo.  Skyborg Vanguard activities under this Project will be consolidated and transferred in FY 2021 from PE 0603216F, Aerospace Propulsion and Power Technology, to PE 0603032F, Future AF Integrated Technology Demos, Project 630320, Air Force Vanguards. These transfers are part of the Air Force RDT&E BA 03 PE consolidation in order to realign technology areas to better support the National Defense Strategy, Air Force Future Operating Concept and Air Force S&T Strategy, April 2019. The Project and associated Non-Vanguard efforts and activities will continue to be executed by the Air Force Research Laboratory Aerospace Systems Technology Directorate located in Wright Patterson Air Force Base, Ohio. This is an administrative realignment for consolidation, and not a new start.",0,18.961,18.016,0,0,0,0,0,0,0,Aerospace Propulsion and Power Technology,USAF,
26,Project,0603216F,635098,Advanced Aerospace Propulsion,3,"This project develops and demonstrates, via ground and flight tests, the scramjet propulsion cycle to a technology readiness level appropriate for full integration with other engine cycles (including turbine and rocket-based) to provide the Air Force with transformational military capabilities. The primary focus is on the hydrocarbon- fueled, scramjet engine. Multi-cycle engines will provide the propulsion systems for possible application to support aircraft and weapon platforms operating up to Mach 7. Efforts include: scramjet flow-path optimization to enable operation over the widest possible range of Mach numbers; active combustion control to assure continuous positive thrust (even during mode transition); robust flame-holding to maintain stability through flow distortions; and maximized volume-to-surface area to minimize the thermal load imposed by the high-speed engine. Thermal management plays a vital role in scramjet and combined cycle engines, including considerations for protecting low speed propulsion systems (e.g., turbine engines) during hypersonic flight.  In FY 2021, the entirety of Project 635098, Advanced Aerospace Propulsion, will be transferred from PE 0603216F, Aerospace Propulsion & Power Technology, Project 635098, Advanced Aerospace Propulsion to PE 0603033F, Next Gen Platform Demo, Project 635098, Advanced Aerospace Propulsion, as part of the Air Force RDT&E BA 03 PE consolidation in order to realign technology areas to better support the National Defense Strategy, Air Force Future Operating Concept and Air Force Science and Technology Strategy, April 2019.  The Project and associated efforts will continue to be managed by the Air Force Research Laboratory Aerospace Systems Technology Directorate located in Wright Patterson Air Force Base, Ohio. This is an administrative realignment for consolidation, and not a new start.",0,29.913,18.814,0,0,0,0,0,0,0,Aerospace Propulsion and Power Technology,USAF,
26,Project,0603216F,63681B,Advanced Turbine Engine Gas Generator,3,"This project develops and demonstrates technology to increase turbine engine operational reliability, durability, mission flexibility, and performance while reducing weight, fuel consumption, and cost of ownership. The objective is to provide continuous evolution of technologies into an advanced gas generator in which the performance, cost, durability, repairability, and maintainability can be assessed in a realistic engine environment. The gas generator, or core, is the basic building block of the engine and nominally consists of a compressor, a combustor, a high-pressure turbine, mechanical systems, and core subsystems. Experimental core engine demonstration validates engineering design tools and enhances rapid, low-risk transition of key engine technologies into engineering development, where they can be applied to derivative and/or new systems. These technologies are applicable to a wide range of military and commercial systems including aircraft, missiles, land combat vehicles, ships, and responsive space launch. Component technologies are demonstrated in a core (sub-engine). This project also assesses the impact of low spool components such as; inlet systems, fans, low pressure turbines, exhaust systems, and system level technologies such as; integrated power generators and thermal management systems on core engine performance, and durability in ground demonstrations of engine cores. The core performances of this project are validated on demonstrator engines in the Aircraft Propulsion Subsystem Integration Project of this program. A portion of this project supports the demonstration of adaptive cycle technologies, which develop component technology for an adaptive cycle engine architecture that provides optimized performance, fuel efficiency, and durability for widely varying mission needs.  In FY 2021, the entirety of Project 63681B, Advanced Turbine Engine Gas Generator, will be transferred from PE 0603216F, Aerospace Propulsion & Power Technology, Project 63681B, to PE 0603033F, Next Gen Platform Demo, Project 63681B, Advanced Turbine Engine Gas Generator, as part of the Air Force RDT&E BA 03 PE consolidation in order to realign technology areas to better support the National Defense Strategy, Air Force Future Operating Concept and Air Force Science and Technology Strategy, April 2019.  The Project and associated efforts will continue to be managed by the Air Force Research Laboratory Aerospace Systems Technology Directorate located in Wright Patterson Air Force, Ohio. This is an administrative realignment for consolidation, and not a new start.",0,23.036,38.831,0,0,0,0,0,0,0,Aerospace Propulsion and Power Technology,USAF,
45,PE,0604004F,,Advanced Engine Development,4,,0,696.099,671.442,636.495,0,636.495,111.83,208.687,218.644,0,Advanced Engine Development,USAF,
45,Project,0604004F,643608,Advanced Engine Dev,4,"The Advanced Engine Development Program enables demonstration of advanced turbine engine prototypes. This program is maturing fuel efficient adaptive engine component technologies and reducing associated risk in preparation for next-generation propulsion system development for combat aircraft applications. Adaptive engine technology enables next generation combat aircraft capabilities by combining the efficiency of high bypass turbofans used by commercial airlines with the performance demanded of military fighter engines. This technology has undergone initial development under the auspices of the Air Force Research Laboratory through the Adaptive Engine Technology and Adaptive Engine Technology Demonstrator programs.  In addition, this program element may include necessary civilian pay expenses required to manage, execute, and deliver advanced engine capabilities. The use of such program funds would be in addition to the civilian pay expenses budgeted in program element 0605831F.  This effort is in Budget Activity 4, Advanced Component Development and Prototypes (ACD&P), because efforts are necessary to evaluate integrated technologies, representative modes or prototype systems in a high fidelity and realistic operating environment.",0,696.099,671.442,636.495,0,636.495,111.83,208.687,218.644,0,Advanced Engine Development,USAF,
190,PE,0207268F,,Aircraft Engine Component Improvement Program,7,"The Aircraft Engine Component Improvement Program (CIP) provides the only source of critical sustaining engineering support for in-service Air Force engines to maintain flight safety (highest priority) to correct deficiencies, improve system operational readiness (OR) and reliability & maintainability (R&M), reduce engine Life Cycle Cost (LCC), and sustain engines throughout their service life.    Changes in aircraft operational parameters caused by changing missions and tasks accelerate new engine problems; Engine CIP provides the means to develop fixes for these problems. Engine CIP funding is driven by field events and types/maturity of engines, not by the total engine quantity. The program starts with government acceptance of the first procurement-funded engine and continues over the engine's life, gradually decreasing to a minimum level (safety/depot repairs) sufficient to keep older engines operational. Engine CIP testing identifies and fixes engine-related problems ahead of operational impacts. R&M related Engine CIP efforts significantly reduce out year Operations and Maintenance (O&M) and spares costs.  This program element may include necessary civilian pay expenses required to manage, execute, and deliver CIP weapon system capability.  The use of such program funds would be in addition to the civilian pay expenses budgeted in program elements 0605826F, 0605827F, 0605828F, 0605829F, 0605830F, 0605831F, 0605832F, and 0605898F.  As directed in the FY 2018 NDAA, Sec 825, amendment to PL 114-92 FY 2016 NDAA, Sec 828 Penalty for Cost Overruns, the FY 2018 Air Force penalty total is $14.373M. The calculated percentage reduction to each research, development, test and evaluation and procurement account will be allocated proportionally from all programs, projects, or activities under such account.  This program is in Budget Activity 7, Operational System Development because this budget activity includes development efforts to upgrade systems that have been fielded or have received approval for full rate production and anticipate production funding in the current or subsequent fiscal year.",0,105.664,121.203,112.505,0,112.505,114.617,116.996,119.126,0,Aircraft Engine Component Improvement Program,USAF,
190,Project,0207268F,671012,Aircraft Engine Component Improvement Program,7,"The Aircraft Engine Component Improvement Program (CIP) provides the only source of critical sustaining engineering support for in-service Air Force engines to maintain flight safety (highest priority) to correct deficiencies, improve system operational readiness (OR) and reliability & maintainability (R&M), reduce engine Life Cycle Cost (LCC), and sustain engines throughout their service life.    Changes in aircraft operational parameters caused by changing missions and tasks accelerate new engine problems; Engine CIP provides the means to develop fixes for these problems. Engine CIP funding is driven by field events and types/maturity of engines, not by the total engine quantity. The program starts with government acceptance of the first procurement-funded engine and continues over the engine's life, gradually decreasing to a minimum level (safety/depot repairs) sufficient to keep older engines operational. Engine CIP testing identifies and fixes engine-related problems ahead of operational impacts. R&M related Engine CIP efforts significantly reduce out year Operations and Maintenance (O&M) and spares costs.  This program element may include necessary civilian pay expenses required to manage, execute, and deliver CIP weapon system capability.  The use of such program funds would be in addition to the civilian pay expenses budgeted in program elements 0605826F, 0605827F, 0605828F, 0605829F, 0605830F, 0605831F, 0605832F, and 0605898F.",0,74.464,88.646,79.342,0,79.342,80.879,82.558,84.061,0,Aircraft Engine Component Improvement Program,USAF,
190,Project,0207268F,675365,F135 Aircraft Engine Component Improvement Program,7,"The F135 Aircraft Engine Component Improvement Program (CIP) supports F-35 single-engine fighter propulsion system.  It provides the only source of critical developmental engineering support for the F135 propulsion system.  F135 CIP maintains flight safety (highest priority), corrects service revealed deficiencies, improves system Operational Readiness (OR) and Reliability & Maintainability (R&M), reduces propulsion system Life Cycle Cost (LCC), and sustains the propulsion system throughout its service life. Historically, aircraft systems change missions, tactics, and environment (including new fuels) and meet changing threats throughout their lives.  New technical problems can develop in the propulsion system through actual use and the F135 CIP provides the means to develop fixes for these problems.  F135 CIP funding is driven by field events and type/maturity of the propulsion system, not by the total quantity of engines.  The program starts with government acceptance of the first procurement-funded engine and continues over the propulsion system's life, gradually decreasing to a minimum level (safety/depot repairs) sufficient to keep older engines operational.  F135 CIP, through ""Lead the Fleet"" operational use and accelerated mission testing, identifies and fixes propulsion-related problems ahead of operational impacts.    F135 CIP ensures continued improvements in R&M, which reduce out year support costs.  Historically, R&M related CIP efforts significantly reduce out year O&M and spares costs.  This program element may include necessary civilian pay expenses required to manage, execute, and deliver CIP weapon system capability.  The use of such program funds would be in addition to the civilian pay expenses budgeted in program elements 0605826F, 0605827F, 0605828F, 0605829F, 0605830F, 0605831F, 0605832F, and 0605898F.",0,31.2,32.557,33.163,0,33.163,33.738,34.438,35.065,0,Aircraft Engine Component Improvement Program,USAF,
223,PE,0205633N,,Aviation Improvements,7,"Project 0601 - Common Ground Equipment is a Naval Aviation Project to apply new technology to common support equipment necessary to support multiple aircraft.    Project 0852: Consolidated Automated Support System is a standardized Automated Test Equipment with computer assisted, multi-function capabilities to support the maintenance of aircraft weapons systems and missiles.  Project 1041 - Aircraft Equipment Reliability/Maintainability Improvement  Program is the only Navy program that provides engineering support for in-service out-of-production aircraft equipment, and provides increased readiness at reduced operational and support cost.    Project 1355 -  Aircraft Engine Component Improvement Program  develops reliability and maintainability and safety enhancements for in-service Navy aircraft engines, transmissions, propellers, starters, auxiliary power units, electrical generating systems, fuel systems, fuels, and lubricants.    Project 2269 - The Expeditionary Airfields (EAF) program designs, develops, tests and fields a sustainment lighting system to replace existing obsolete legacy EAF lighting system.  JUSTIFICATION FOR BUDGET ACTIVITY: This program is funded under OPERATIONAL SYSTEMS DEVELOPMENT because it includes development efforts to upgrade systems that have been fielded or have received approval for full rate production and anticipate funding in the current or subsequent fiscal year.",1581.07,130.986,125.461,133.953,0,133.953,130.174,132.231,135.336,130.379,Aviation Improvements,Navy,
