Line#,Type,PE#,Project#,PE/Project/Accomplishments/Planned Programs Title,BA#,Description,Prior Years,FY 2018,FY 2019,FY 2020 Base,FY 2020 OCO,FY 2020 Total,FY 2021,FY 2022,FY 2023,FY 2024,Program Element,Service,Notes
37,Project,0604004F,643608,Advanced Engine Dev,4,"The Advanced Engine Development Program enables demonstration of advanced turbine engine prototypes. This program is maturing fuel efficient adaptive engine component technologies and reducing associated risk in preparation for next-generation propulsion system development for multiple combat aircraft applications. Adaptive engine technology enables next generation combat aircraft capabilities by combining the efficiency of high bypass turbofans used by commercial airlines with the performance demanded of military fighter engines. This technology has undergone initial development under the auspices of the Air Force Research Laboratory through the Adaptive Engine Technology and Adaptive Engine Technology Demonstrator programs.  The Advanced Engine Development program element is new for FY 2019. In FY 2019, the entirety of this program was transferred from PE 0604858F, Tech Transition Program, to PE 0604004F, Advanced Engine Development, Project 643608, Advanced Engine Dev, in order to provide increased transparency to Congress on Air Force prototyping activities as directed in the Defense Appropriations Act 2019. This is an administrative realignment only and is not a new start.  In addition, this program element may include necessary civilian pay expenses required to manage, execute, and deliver advanced engine capabilities. The use of such program funds would be in addition to the civilian pay expenses budgeted in program elements 0605826F, 0605827F, 0605828F, 0605829F, 0605830F, 0605831F, 0605832F, 0605898F, and 0605833F.  As directed in the FY 2018 NDAA, Sec 825, amendment to PL 114-92 FY 2016 NDAA, Sec 828 Penalty for Cost Overruns, the FY 2018 Air Force penalty total is $14.373M. The calculated percentage reduction to each research, development, test and evaluation and procurement account will be allocated proportionally from all programs, projects, or activities under such account.  This effort is in Budget Activity 4, Advanced Component Development and Prototypes (ACD&P), because efforts are necessary to evaluate integrated technologies, representative modes or prototype systems in a high fidelity and realistic operating environment.",0,0,720.355,878.442,0,878.442,637.657,0,0,0,Advanced Engine Development,USAF,
48,PE,0604858F,,Tech Transition Program,4,"The Tech Transition Program provides funding to demonstrate, prototype, and experiment with technologies and concepts to enable or accelerate their transition to acquisition programs and/or operational use. The Technology Transition Program addresses the gap between initial technology or concept development and demonstration, and successful acquisition and operational capability implementation. Experimentation explores new concepts and their applications in potential future operating environments within a system-of-systems context. Prototyping enables integration and demonstration of emerging technologies to quickly move them into warfighting capability. The Tech Transition Program allows acquisition program managers (the capability developers) and warfighters (the capability recipients and end users) to prototype, integrate, and demonstrate candidate technologies and assess them in an operational environment in partnership with Program Executive Officers, schoolhouses, simulation facilities, and development planning organizations.   In FY 2019, the following efforts were transferred from PE 0604858F, Tech Transition Program: Advanced Engine Transition Program to PE 0604004F, Advanced Engine Development, Project 643608, Advanced Engine Development; Hypersonics Prototyping to PE 0604033F, Hypersonics Prototyping, Project 643885, Hypersonic Conventional Strike Weapon, and Project 643882, Air-Launched Rapid Response Weapon; and Directed Energy Prototyping to PE 0604032F, Directed Energy Prototyping, Project 640200, Directed Energy Prototyping. These transfers were Congressionally directed in the Department of Defense Appropriations Act of 2019 for greater transparency of Air Force prototyping activities.  In addition, this program element may include necessary civilian pay expenses required to manage, execute, and deliver weapon system capability. The use of such program funds would be in addition to the civilian pay expenses budgeted in program elements 0605826F, 0605827F, 0605828F, 0605829F, 0605830F, 0605831F, 0605832F, 0605898F, and 0605833F.  As directed in the FY 2018 NDAA, Sec 825, amendment to PL 114-92 FY 2016 NDAA, Sec 828 Penalty for Cost Overruns, the FY 2018 Air Force penalty total is $14.373M. The calculated percentage reduction to each research, development, test and evaluation and procurement account will be allocated proportionally from all programs, projects, or activities under such account.  This effort is in Budget Activity 4, Advanced Component Development and Prototypes (ACD&P), because efforts are necessary to evaluate integrated technologies, representative modes or prototype systems in a high fidelity and realistic operating environment.",0.000,"1,079.458",167.277,128.476,26.450,154.926,280.495,259.521,158.734,75.159,Tech Transition Program,USAF,
48,A/PP,0604858F,645351,Adaptive Engine Transition Program (AETP),4,,,565.45,0,0,0,0,,,,,Tech Transition Program,USAF,
86,PE,0604800F,,F-35 - EMD,5,"The F-35 Joint Strike Fighter (JSF) Program will develop and field an affordable, highly common family of next generation strike aircraft for the USN, USAF, USMC and allies. The three variants are the F-35A conventional takeoff and landing; F-35B short takeoff and vertical landing; and the F-35C Aircraft Carrier suitable variant. The F-35A will be a stealthy multi-role aircraft, primary air-to-ground for the Air Force to replace the F-16 and A-10 and complement the F-22. The F-35B variant will be a multi-role strike fighter aircraft to replace the AV-8B and F/A-18 for the Marine Corps, replace the Sea Harrier and GR 7 for the United Kingdom, and replace the AV-8 currently employed by the Italian Navy. The F-35C will provide the Department of the Navy a multi-role, stealthy strike fighter aircraft to complement the F/A-18E/F.  The United Kingdom, Italy, Netherlands, Turkey, Canada, Australia, Denmark, Norway, and Foreign Military Sales customers are also participants in the JSF program. The program shown here reflects USN, USMC, USAF, and International Partner funding.  Funding at the accomplishment/planned program level is reported as the total of all services and partners as these activities support all aircraft variants.  The System Development and Demonstration (SDD) budget funds a total quantity of 20 RDT&E test articles to include 6 ground test articles and 14 flight test articles for USN, USAF, and USMC use.  FY07: 1 F-35A flight test article FY08: 1 F-35B flight test article; 1 F-35B ground test article FY09: 1 F-35B flight test article; 2 F-35A ground test articles FY10: 6 flight test articles: 3 F-35A, 2 F-35B, 1 F-35C; 3 ground test articles: 1 F-35B, 2 F-35C FY11: 4 flight test articles: 1 F-35A,1 F-35B, 2 F-35C FY13: 1 F-35C flight test article  As directed in the FY 2018 NDAA, Sec 825, amendment to PL 114-92 FY 2016 NDAA, Sec 828 Penalty for Cost Overruns, the FY 2018 Air Force penalty total is $14.373M. The calculated percentage reduction to each research, development, test and evaluation and procurement account will be allocated proportionally from all programs, projects, or activities under such account.  This program is in Budget Activity 5, System Development and Demonstration (SDD) because it has passed Milestone B approval and is conducting engineering and manufacturing development tasks aimed at meeting validated requirements prior to full rate production.","50,438.576",282.126,69.001,7.628,0.000,7.628,5.434,0.013,0.000,0.000,F-35 - EMD,USAF,
86,A/PP,0604800F,653831,F135 Propulsion System (F-35 JSF),5,,,0,0,0,0,0,,,,,F-35 - EMD,USAF,
190,PE,0207268F,,Aircraft Engine Component Improvement Program,7,"The Aircraft Engine Component Improvement Program (CIP) provides the only source of critical sustaining engineering support for in-service Air Force engines to maintain flight safety (highest priority) to correct deficiencies, improve system operational readiness (OR) and reliability & maintainability (R&M), reduce engine Life Cycle Cost (LCC), and sustain engines throughout their service life.    Changes in aircraft operational parameters caused by changing missions and tasks accelerate new engine problems; Engine CIP provides the means to develop fixes for these problems. Engine CIP funding is driven by field events and types/maturity of engines, not by the total engine quantity. The program starts with government acceptance of the first procurement-funded engine and continues over the engine's life, gradually decreasing to a minimum level (safety/depot repairs) sufficient to keep older engines operational. Engine CIP testing identifies and fixes engine-related problems ahead of operational impacts. R&M related Engine CIP efforts significantly reduce out year Operations and Maintenance (O&M) and spares costs.  This program element may include necessary civilian pay expenses required to manage, execute, and deliver CIP weapon system capability.  The use of such program funds would be in addition to the civilian pay expenses budgeted in program elements 0605826F, 0605827F, 0605828F, 0605829F, 0605830F, 0605831F, 0605832F, and 0605898F.  As directed in the FY 2018 NDAA, Sec 825, amendment to PL 114-92 FY 2016 NDAA, Sec 828 Penalty for Cost Overruns, the FY 2018 Air Force penalty total is $14.373M. The calculated percentage reduction to each research, development, test and evaluation and procurement account will be allocated proportionally from all programs, projects, or activities under such account.  This program is in Budget Activity 7, Operational System Development because this budget activity includes development efforts to upgrade systems that have been fielded or have received approval for full rate production and anticipate production funding in the current or subsequent fiscal year.",0.000,105.664,121.203,112.505,0.000,112.505,114.617,116.996,119.126,0.000,Aircraft Engine Component Improvement Program,USAF,
190,Project,0207268F,671012,Aircraft Engine Component Improvement Program,7,"The Aircraft Engine Component Improvement Program (CIP) provides the only source of critical sustaining engineering support for in-service Air Force engines to maintain flight safety (highest priority) to correct deficiencies, improve system operational readiness (OR) and reliability & maintainability (R&M), reduce engine Life Cycle Cost (LCC), and sustain engines throughout their service life.    Changes in aircraft operational parameters caused by changing missions and tasks accelerate new engine problems; Engine CIP provides the means to develop fixes for these problems. Engine CIP funding is driven by field events and types/maturity of engines, not by the total engine quantity. The program starts with government acceptance of the first procurement-funded engine and continues over the engine's life, gradually decreasing to a minimum level (safety/depot repairs) sufficient to keep older engines operational. Engine CIP testing identifies and fixes engine-related problems ahead of operational impacts. R&M related Engine CIP efforts significantly reduce out year Operations and Maintenance (O&M) and spares costs.  This program element may include necessary civilian pay expenses required to manage, execute, and deliver CIP weapon system capability.  The use of such program funds would be in addition to the civilian pay expenses budgeted in program elements 0605826F, 0605827F, 0605828F, 0605829F, 0605830F, 0605831F, 0605832F, and 0605898F.",0,74.464,88.646,79.342,0,79.342,80.879,82.558,84.061,0,Aircraft Engine Component Improvement Program,USAF,
190,Project,0207268F,675365,F135 Aircraft Engine Component Improvement Program,7,"The F135 Aircraft Engine Component Improvement Program (CIP) supports F-35 single-engine fighter propulsion system.  It provides the only source of critical developmental engineering support for the F135 propulsion system.  F135 CIP maintains flight safety (highest priority), corrects service revealed deficiencies, improves system Operational Readiness (OR) and Reliability & Maintainability (R&M), reduces propulsion system Life Cycle Cost (LCC), and sustains the propulsion system throughout its service life. Historically, aircraft systems change missions, tactics, and environment (including new fuels) and meet changing threats throughout their lives.  New technical problems can develop in the propulsion system through actual use and the F135 CIP provides the means to develop fixes for these problems.  F135 CIP funding is driven by field events and type/maturity of the propulsion system, not by the total quantity of engines.  The program starts with government acceptance of the first procurement-funded engine and continues over the propulsion system's life, gradually decreasing to a minimum level (safety/depot repairs) sufficient to keep older engines operational.  F135 CIP, through ""Lead the Fleet"" operational use and accelerated mission testing, identifies and fixes propulsion-related problems ahead of operational impacts.    F135 CIP ensures continued improvements in R&M, which reduce out year support costs.  Historically, R&M related CIP efforts significantly reduce out year O&M and spares costs.  This program element may include necessary civilian pay expenses required to manage, execute, and deliver CIP weapon system capability.  The use of such program funds would be in addition to the civilian pay expenses budgeted in program elements 0605826F, 0605827F, 0605828F, 0605829F, 0605830F, 0605831F, 0605832F, and 0605898F.",0,31.2,32.557,33.163,0,33.163,33.738,34.438,35.065,0,Aircraft Engine Component Improvement Program,USAF,
226,PE,0205633N,,Aviation Improvements,07,"Project 0601 - Common Ground Equipment is a Naval Aviation Project to apply new technology to common support equipment necessary to support multiple aircraft.    Project 0852: Consolidated Automated Support System is a standardized Automated Test Equipment with computer assisted, multi-function capabilities to support the maintenance of aircraft weapons systems and missiles.  Project 1041 - Aircraft Equipment Reliability/Maintainability Improvement  Program is the only Navy program that provides engineering support for in-service out-of-production aircraft equipment, and provides increased readiness at reduced operational and support cost.    Project 1355 -  Aircraft Engine Component Improvement Program  develops reliability and maintainability and safety enhancements for in-service Navy aircraft engines, transmissions, propellers, starters, auxiliary power units, electrical generating systems, fuel systems, fuels, and lubricants.    Project 2269 - The Expeditionary Airfields (EAF) program designs, develops, tests and fields a sustainment lighting system to replace existing obsolete legacy EAF lighting system.  JUSTIFICATION FOR BUDGET ACTIVITY: This program is funded under OPERATIONAL SYSTEMS DEVELOPMENT because it includes development efforts to upgrade systems that have been fielded or have received approval for full rate production and anticipate funding in the current or subsequent fiscal year.","1,460.130",120.940,134.823,125.461,0.000,125.461,139.748,131.031,124.054,126.529,Aviation Improvements,Navy,
226,Project,0205633N,1355,Propulsion and Power Component Improvement Program,7,"The Propulsion and Power (P&P) Component Improvement Program (CIP) provides the only source of critical design and development engineering support to resolve safety, reliability  and maintainability deficiencies of in-service Navy and Marine Corps aircraft propulsion systems. The highest priority issues P&P CIP addresses concern safety-of-flight deficiencies, which account for approximately 80% of P&P CIP efforts. The program also corrects service-revealed deficiencies, improves Operational Readiness and Reliability and Maintainability, and reduces platform Life Cycle Cost. Budgets are allocated across platform-specific teams and multi-platform product support teams based upon long term strategies to achieve  safety and affordable readiness goals; the R-3 exhibit details annual portions of those long-term strategies. P&P CIP tasks have reduced the rate of in-flight aborts, safety incidents, non-mission capable rates, scheduled and unscheduled engine removals, maintenance work hours, and overall cost of ownership. This is accomplished through the maintenance and validation of specification performance, testing to qualify engineering changes, verifying life limits, and improving the inherent reliability of the propulsion and power systems as an integral part of Reliability Centered Maintenance initiatives. Historically, the missions, tactics, and environmental exposure of military aircraft systems change to meet new threats or operational demands, and often result in unforeseen problems, which if not corrected, can cause critical safety/readiness degradation, such as those experienced during OPERATIONS DESERT SHIELD/DESERT STORM, ENDURING FREEDOM, and IRAQI FREEDOM due to sand erosion. In addition, new problems arise through actual fleet deployment and usage of the aircraft. System development programs, while geared to resolve as many problems as possible before deployment, cannot duplicate actual operations or account for the vast array of environmental and usage variables, particularly when aircraft missions vary from those that the aircraft was designed to perform. Therefore, it has been found that P&P CIP can provide an immediate engineering response to these flight-critical problems and accelerated engine testing can avoid potential problems. P&P CIP starts after development and Navy acceptance of the first production article and addresses usage and life problems not covered by warranties. P&P CIP addresses engines, transmissions, propellers, starters, auxiliary power units, electrical generating systems, aircraft wiring, and fuel and lubricant systems. These efforts continue over the system's life, gradually decreasing to a minimum level sufficient to maintain the reliability, and decrease the operating costs, of older inventory. P&P CIP is a highly leveraged and cooperative tri-service program with Foreign Military Sales participation.","1,143.526",91.528,105.223,99.372,0.000,99.372,112.398,110.823,108.785,110.953,Aviation Improvements,Navy,
