Line#,Type,PE#,Project#,PE/Project/Accomplishments/Planned Programs Title,BA#,Description,Prior Years,FY 2020,FY 2021,FY 2022 Base,FY 2022 OCO,FY 2022 Total,FY 2023,FY 2024,FY 2025,FY 2026,Program Element,Service
22,PE,0603216F,,Aerospace Propulsion and Power Technology,3,"This program develops and demonstrates technologies to achieve enabling and revolutionary advances in turbine, advanced-cycle, rocket, and space propulsion as well as electrical power, thermal management, and fuels.  The program has six projects, each focusing on technologies with a high potential to enhance the performance of existing and future Air Force weapon systems.  The Aerospace Fuels project develops and demonstrates improved hydrocarbon fuels and advanced propulsion systems, including those for air-breathing, high-speed/hypersonic flight.  The Aerospace Power Technology project develops and demonstrates adaptive power and thermal management components, controls, and systems for high-power payloads and aircraft as part of energy-optimized aircraft development.  The Aircraft Propulsion Subsystems Integration project develops demonstrator engines by integrating the engine cores demonstrated in the Advanced Turbine Engine Gas Generator project with low-pressure components.   The Space and Missile Rocket Propulsion project develops and demonstrates innovative rocket propulsion technologies, propellants, and manufacturing techniques.  The Advanced Aerospace Propulsion project develops the scramjet propulsion cycle to a technology readiness level appropriate for in-flight demonstration and for full integration with other engine cycles (including turbine and rocket based).  The Advanced Turbine Engine Gas Generator project develops and demonstrates core turbine engine technologies for current and future aircraft propulsion systems.  All transfers detailed below are administrative realignments due to the stand up of the United States Space Force, and not new starts. This work will continue to be executed by the Air Force Research Laboratory Aerospace Systems Technology Directorate located in Wright Patterson Air Force Base, OH, Edwards Air Force Base, CA, or Arnold Air Force Base, TN.  In FY 2022, the work and funding associated with advanced space technology demonstrations in PE 0603216F, Aerospace Propulsion, Project 634922, Space & Missile Rocket Propulsion, are transferred to Appropriation 3620F, Research, Development, Test & Evaluation, Space Force, PE 1206616SF, Space Advanced Technology Development/Demo, Project 634922, Space & Missile Rocket Propulsion, due to the creation of a new Appropriation for Space Force.  In FY 2022, the work and funding associated with missile rocket propulsion technologies in PE 0603216F, Aerospace Propulsion, are transferred from Project 634922, Space & Missile Rocket Propulsion, to Project 634093, Missile Rocket Propulsion Integ & Demo due to the creation of a new Appropriation for Space Force.  The Department of the Air Force technologies in this program are both enabling and enduring as we invest in maturing emerging technologies that address established mission gaps, and transformational technologies that address integrated enterprise capabilities intended to reshape the future force across air, space, and cyber warfighting domains. Development of transformational operational capabilities through advanced technology solutions focuses on five strategic capabilities: Global Persistent Awareness; Resilient Information Sharing; Rapid, Effective Decision-Making; Complexity, Unpredictability, and Mass; and Speed and Reach of Disruption and Lethality.  This program element may include necessary civilian pay expenses required to manage, execute, and deliver science & technology capabilities. The use of program funds in this PE would be in addition to the civilian pay expenses budgeted in program elements 0601102F, 0602102F, 0602201F, 0602203F, 0602204F, 0602602F, 0602605F, 0602788F, 1206601SF, and 0602298F.  Projects in this program have been coordinated through the Department of Defense (DoD) Science and Technology (S&T) Executive Committee process to harmonize efforts and eliminate duplication.  This program is in Budget Activity 3, Advanced Technology Development because this budget activity includes development of subsystems and components and efforts to integrate subsystems and components into system prototypes for field experiments and/or tests in a simulated environment.",0,161.352,144.229,75.273,0,75.273,0,0,0,0,Aerospace Propulsion and Power Technology,USAF
22,Project,0603216F,635098,Advanced Aerospace Propulsion,3,"This project develops and demonstrates, via ground and flight tests, the scramjet propulsion cycle to a technology readiness level appropriate for full integration with other engine cycles (including turbine and rocket-based) to provide the Air Force with transformational military capabilities. The primary focus is on the hydrocarbon- fueled, scramjet engine. Multi-cycle engines will provide the propulsion systems for possible application to support aircraft and weapon platforms operating up to Mach 7. Efforts include: scramjet flow-path optimization to enable operation over the widest possible range of Mach numbers; active combustion control to assure continuous positive thrust (even during mode transition); robust flame-holding to maintain stability through flow distortions; and maximized volume-to-surface area to minimize the thermal load imposed by the high-speed engine. Thermal management plays a vital role in scramjet and combined cycle engines, including considerations for protecting low speed propulsion systems (e.g., turbine engines) during hypersonic flight.  This project includes the initiation and development of programs addressing DAF capability gaps and provides technologies for transformational future force capabilities. Transformational efforts will be identified through a competitive process and be responsive to DAF design priorities. Selected efforts will be designated as transformational, indicating enterprise-level priority.",0,18.814,20,17.019,0,17.019,0,0,0,0,Aerospace Propulsion and Power Technology,USAF
22,Project,0603216F,63681B,Advanced Turbine Engine Gas Generator,3,"This project develops and demonstrates technology to increase turbine engine operational reliability, durability, mission flexibility, and performance while reducing weight, fuel consumption, and cost of ownership. The objective is to provide continuous evolution of technologies into an advanced gas generator in which the performance, cost, durability, repairability, and maintainability can be assessed in a realistic engine environment. The gas generator, or core, is the basic building block of the engine and nominally consists of a compressor, a combustor, a high-pressure turbine, mechanical systems, and core subsystems. Experimental core engine demonstration validates engineering design tools and enhances rapid, low-risk transition of key engine technologies into engineering development, where they can be applied to derivative and/or new systems. These technologies are applicable to a wide range of military and commercial systems including aircraft, missiles, land combat vehicles, ships, and responsive space launch. Component technologies are demonstrated in a core (sub-engine). This project also assesses the impact of low spool components such as; inlet systems, fans, low pressure turbines, exhaust systems, and system level technologies such as; integrated power generators and thermal management systems on core engine performance, and durability in ground demonstrations of engine cores. The core performances of this project are validated on demonstrator engines in the Aircraft Propulsion Subsystem Integration Project of this program. A portion of this project supports the demonstration of adaptive cycle technologies, which develop component technology for an adaptive cycle engine architecture that provides optimized performance, fuel efficiency, and durability for widely varying mission needs.  This project includes the initiation and development of programs addressing DAF capability gaps and provides technologies for transformational future force capabilities. Transformational efforts will be identified through a competitive process and be responsive to DAF design priorities. Selected efforts will be designated as transformational, indicating enterprise-level priority.",0,38.831,17,20.816,0,20.816,0,0,0,0,Aerospace Propulsion and Power Technology,USAF
22,Project,0603216F,634921,Aircraft Propulsion Subsystems Int,3,"This project develops and demonstrates technology to increase turbine engine operational reliability, durability, mission flexibility, and performance while reducing weight, fuel consumption, and cost of ownership. The Aircraft Propulsion Subsystems Integration (APSI) project includes demonstrator engines for manned systems and efficient small-scale propulsion for remotely piloted aircraft and cruise missile applications. The demonstrator engines integrate the core (high- pressure spool) technology developed under the Versatile Affordable Advanced Turbine Engines (VAATE) project with the engine (low-pressure spool) technology such as fans, turbines, engine controls, mechanical systems, exhaust nozzles, and augmentors. Additionally, this project includes activities to improve propulsion safety and readiness. This project also focuses on integration of inlets, nozzles, engine-to-airframe compatibility, and power and thermal management subsystems technologies. The APSI project provides aircraft with potential for longer range and higher cruise speeds with lower specific fuel consumption, surge power for successful engagements, high sortie rates with reduced maintenance, reduced life cycle cost, and improved survivability, resulting in increased mission effectiveness. Technologies developed are applicable to sustained high-speed vehicles and responsive space launch. The Aircraft Propulsion Subsystems Integration project is focused on improving propulsion capabilities while at the same time reducing the cost of ownership. Anticipated technology advances include turbine engine improvements providing approximately twice the range for a sustained supersonic combat aircraft, doubling the time on station with ten times the power output for surveillance aircraft and propulsion for a high speed supersonic missile with double the range for time sensitive targets. A portion of this project supports the demonstration of adaptive cycle technologies, which develop component technology for an adaptive cycle engine architecture that provides optimized performance, fuel efficiency, high power extraction, integrated thermal management, and durability for widely varying mission needs.  This project includes the initiation and development of programs addressing DAF capability gaps and provides technologies for transformational future force capabilities. Transformational efforts will be identified through a competitive process and be responsive to DAF design priorities. Selected efforts will be designated as transformational, indicating enterprise-level priority.",0,18.016,0,11.61,0,11.61,0,0,0,0,Aerospace Propulsion and Power Technology,USAF
22,Project,0603216F,632480,Aerospace Fuels,3,"This project evaluates and demonstrates improved hydrocarbon fuels, unique special application fuels, alternate fuels and advanced, novel aerospace propulsion technologies for Air Force applications, including high-speed and hypersonic flight and technologies to increase turbine engine operational reliability, durability, mission flexibility, and performance, while reducing weight, fuel consumption, and cost of ownership. The advanced fuel emphasis is on demonstrating new thermally stable, high-heat sink, and controlled chemically reacting fuels for a conventional turbine engine, turbine-based combined cycle engines, and other advanced propulsion systems. The project also evaluates and demonstrates fuel system components that minimize cost, reduce maintenance, and improve performance of future aerospace systems. The advanced propulsion emphasis is on demonstrating concepts for combined cycle, ramjet, and scramjet engines. A portion of this project supports the demonstration of adaptive cycle technologies. This project develops component technology for an adaptive cycle engine architecture that provides optimized performance, fuel efficiency, and durability for widely varying mission needs.  This project includes the initiation and development of programs addressing DAF capability gaps and provides technologies for transformational future force capabilities. Transformational efforts will be identified through a competitive process and be responsive to DAF design priorities. Selected efforts will be designated as transformational, indicating enterprise-level priority.",0,2.386,2.434,0,0,0,0,0,0,0,Aerospace Propulsion and Power Technology,USAF
39,PE,0604004F,,Advanced Engine Development,4,,0,647.85,665.28,123.712,0,123.712,0,0,0,0,Advanced Engine Development,USAF
39,Project,0604004F,643608,Advanced Engine Dev,4,"The Advanced Engine Development Program enables demonstration of advanced turbine engine prototypes. This program is maturing fuel efficient adaptive engine component technologies and reducing associated risk in preparation for next-generation propulsion system development for combat aircraft applications. Adaptive engine technology enables next generation combat aircraft capabilities by combining the efficiency of high bypass turbofans used by commercial airlines with the performance demanded of military fighter engines. This technology has undergone initial development under the auspices of the Air Force Research Laboratory through the Adaptive Versatile Engine Technology (ADVENT) and Adaptive Engine Technology Demonstrator (AETD) programs.  This program element may include necessary emergent or unanticipated civilian pay expenses required to manage, execute, and deliver Advanced Engine Development for emergent or unanticipated weapon system capability. The use of such program funds would be in addition to the civilian pay expenses budgeted in program element 0605831F.  In FY20 $2.578M expended and in FY21 $3.141M is estimated for civilian pay expenses in this program element.  This effort is in Budget Activity 4, Advanced Component Development and Prototypes (ACD&P), because efforts are necessary to evaluate integrated technologies, representative modes or prototype systems in a high fidelity and realistic operating environment.",0,647.85,665.28,123.712,0,123.712,0,0,0,0,Advanced Engine Development,USAF
197,PE,0207268F,,Aircraft Engine Component Improvement Program,7,"The Aircraft Engine Component Improvement Program (CIP) provides the only source of critical sustaining engineering support for in-service Air Force engines to maintain flight safety (highest priority) to correct deficiencies, improve system operational readiness (OR) and reliability & maintainability (R&M), reduce engine Life Cycle Cost (LCC), and sustain engines throughout their service life.  Past investments have reduced warfighter Class A rates and decreased Engine Related Loss of Aircraft (ERLOA)and generated significant returns on investments. Significant new tasks for this year support increasing reliability and maintainability of the B-52 aircraft/TF33 engine, correcting the #1 removal driver for the TF34 engine to achieve LCC of 24M and eliminating a safety concern with cracked header on the F119 engine.  Engine CIP provides the only means to develop/address solutions to safety issues, obsolescence, reliability, availability, maintainability and affordability driven by changes in aircraft operational parameters, missions, usage or age.  It also serves as the primary vehicle implement emerging technology solutions to resolve these issues.   The program starts with government acceptance of the first procurement-funded engine and continues over the engine's life, gradually decreasing to a minimum level (safety/depot repairs) sufficient to keep older engines operational. Engine CIP testing identifies and fixes engine-related problems ahead of operational impacts. R&M related Engine CIP efforts significantly reduce out year Operations and Maintenance (O&M) and spares costs.  This program element may include necessary civilian pay expenses required to manage, execute, and deliver WEAPON SYSTEM capability.  The use of such programs funds would be in addition to the civilian pay expenses budgeted in program element 0605831F.  This program is in Budget Activity 7, Operational System Development because this budget activity includes development efforts to upgrade systems that have been fielded or have received approval for full rate production and anticipate production funding in the current or subsequent fiscal year.",0,108.446,125.666,103.715,0,103.715,0,0,0,0,Aircraft Engine Component Improvement Program,USAF
197,Project,0207268F,671012,Aircraft Engine Component Improvement Program,7,"The Aircraft Engine Component Improvement Program (CIP) provides the only source of critical sustaining engineering support for in-service Air Force engines to maintain flight safety (highest priority) to correct deficiencies, improve system operational readiness (OR) and reliability & maintainability (R&M), reduce engine Life Cycle Cost (LCC), and sustain engines throughout their service life. Engine CIP directly addresses engine related causes to aircraft Non-Mission-Capability rates. Significant new tasks for this year support increasing reliability and maintainability of the B-52 aircraft/TF33 engine, correcting the #1 removal driver for the TF34 engine to achieve LCC of 24M and eliminating a safety concern with cracked header on the F119 engine.  Changes in aircraft operational parameters and/or missions and task missions and tasks accelerating the discovery of new engine issues and the need to resolve issues; Engine CIP provides the only means to develop fixes for these problems. Engine CIP funding is driven by field events and types/maturity of engines, not by the total engine quantity. The program starts with government acceptance of the first procurement-funded engine and continues over the engine's life, gradually decreasing to a minimum level (safety/depot repairs) sufficient to keep older engines operational. Engine CIP testing identifies and fixes engine-related problems ahead of operational impacts. R&M related Engine CIP efforts significantly reduce out year Operations and Maintenance (O&M) and replacement spares costs.  Service-related engine deficiencies occur throughout the engine lifecycle. Given the uncertainty with regard to the number and timing of engine-related deficiencies, it is essential for the USAF to have adequate engineering capability, test capacity to rapidly respond to problems as they occur and absolutely paramount to reach SecDef directed 80% mission capability rate for F-22, F-16, and F-15 aircraft.",0,75.283,98.104,75.754,0,75.754,0,0,0,0,Aircraft Engine Component Improvement Program,USAF
197,Project,0207268F,675365,F135 Aircraft Engine Component Improvement Program,7,"The F135 Aircraft Engine Component Improvement Program (CIP) supports F-35 single-engine fighter propulsion system.  It provides the only source of critical developmental engineering support for the F135 propulsion system.  F135 CIP maintains flight safety (highest priority), corrects service revealed deficiencies, improves system Operational Readiness (OR) and Reliability & Maintainability (R&M), reduces propulsion system Life Cycle Cost (LCC), and sustains the propulsion system throughout its service life. Historically, aircraft systems change missions, tactics, and environment (including new fuels) and meet changing threats throughout their lives.  New technical problems can develop in the propulsion system through actual use and the F135 CIP provides the means to develop fixes for these problems.  F135 CIP funding is driven by field events and type/maturity of the propulsion system, not by the total quantity of engines.  The program starts with government acceptance of the first procurement-funded engine and continues over the propulsion system's life, gradually decreasing to a minimum level (safety/depot repairs) sufficient to keep older engines operational.  F135 CIP, through ""Lead the Fleet"" operational use and accelerated mission testing, identifies and fixes propulsion-related problems ahead of operational impacts.    F135 CIP ensures continued improvements in R&M, which reduce out year support costs.  Historically, R&M related CIP efforts significantly reduce out year O&M and spares costs.",0,33.163,27.562,27.961,0,27.961,0,0,0,0,Aircraft Engine Component Improvement Program,USAF
219,PE,0205633N,,Aviation Improvements,07,"Project 0601 - Common Ground Equipment is a Naval Aviation Project to apply new technology to common support equipment necessary to support multiple aircraft.    Project 0852: Consolidated Automated Support System is a standardized Automated Test Equipment with computer assisted, multi-function capabilities to support the maintenance of aircraft weapons systems and missiles.  Project 1041 - Aircraft Equipment Reliability/Maintainability Improvement  Program is the only Navy program that provides engineering support for in-service out-of-production aircraft equipment, and provides increased readiness at reduced operational and support cost.    Project 1355 -  Aircraft Engine Component Improvement Program  develops reliability and maintainability and safety enhancements for in-service Navy aircraft engines, transmissions, propellers, starters, auxiliary power units, electrical generating systems, fuel systems, fuels, and lubricants.    Project 2269 - The Expeditionary Airfields (EAF) program designs, develops, tests and fields Airfield Light Systems to replace existing obsolete legacy EAF lighting system.  JUSTIFICATION FOR BUDGET ACTIVITY: This program is funded under OPERATIONAL SYSTEMS DEVELOPMENT because it includes development efforts to upgrade systems that have been fielded or have received approval for full rate production and anticipate funding in the current or subsequent fiscal year.",1692.748,118.01,126.371,132.486,0,132.486,0,0,0,0,Aviation Improvements,Navy
219,Project,0205633N,1355,Propulsion and Power Component Improvement Program,7,"The Propulsion and Power (P&P) Component Improvement Program (CIP) provides the only source of critical design and development engineering support to resolve safety, reliability  and maintainability deficiencies of in-service Navy and Marine Corps aircraft propulsion systems. The highest priority issues P&P CIP addresses concern safety-of-flight deficiencies, which account for approximately 80% of P&P CIP efforts. The program also corrects service-revealed deficiencies, improves Operational Readiness and Reliability and Maintainability, and reduces platform Life Cycle Cost. Budgets are allocated across platform-specific teams and multi-platform product support teams based upon long term strategies to achieve  safety and affordable readiness goals; the R-3 exhibit details annual portions of those long-term strategies. P&P CIP tasks have reduced the rate of in-flight aborts, safety incidents, non-mission capable rates, scheduled and unscheduled engine removals, maintenance work hours, and overall cost of ownership. This is accomplished through the maintenance and validation of specification performance, testing to qualify engineering changes, verifying life limits, and improving the inherent reliability of the propulsion and power systems as an integral part of Reliability Centered Maintenance initiatives. Historically, the missions, tactics, and environmental exposure of military aircraft systems change to meet new threats or operational demands, and often result in unforeseen problems, which if not corrected, can cause critical safety/readiness degradation, such as those experienced during OPERATIONS DESERT SHIELD/DESERT STORM, ENDURING FREEDOM, and IRAQI FREEDOM due to sand erosion. In addition, new problems arise through actual fleet deployment and usage of the aircraft. System development programs, while geared to resolve as many problems as possible before deployment, cannot duplicate actual operations or account for the vast array of environmental and usage variables, particularly when aircraft missions vary from those that the aircraft was designed to perform. Therefore, it has been found that P&P CIP can provide an immediate engineering response to these flight-critical problems and accelerated engine testing can avoid potential problems. P&P CIP starts after development and Navy acceptance of the first production article and addresses usage and life problems not covered by warranties. P&P CIP addresses engines, transmissions, propellers, starters, auxiliary power units, electrical generating systems, aircraft wiring, and fuel and lubricant systems. These efforts continue over the system's life, gradually decreasing to a minimum level sufficient to maintain the reliability, and decrease the operating costs, of older inventory. P&P CIP is a highly leveraged and cooperative tri-service program with Foreign Military Sales participation.",1337.285,96.317,109.391,102.757,0,102.757,0,0,0,0,Aviation Improvements,Navy
105,PE,0604214M,,AV-8B Aircraft - Engine Dev,05,"The program provides for AV-8B Design, Development, Integration, and Test of various platform improvements such as: Engine Life Management Program (ELMP), Escape Systems, Joint Mission Planning System (JMPS), and Block upgrades to various mission systems and software Operational Flight Programs (OFPs) to include JMPS integration, avionics and communications systems, navigation equipment, weapons carriage and countermeasures, studies and analyses of future capability expansion and unique flight testing, and the Obsolescence Replacement (OR)/Readiness Management Plan (RMP) including structural, hydraulic, electrical, environmental, and mechanical systems.  OR/RMP represents all engineering activities for development and design to support aircraft safety flight clearances, concept explorations, responses to evolving threats, and developments to support Program Objective Memorandum.    The program's Evolutionary Acquisition Strategy includes Design, Development, Integration, and Test activities under the consolidated effort of Block Developments: H6.2 and follow-on block upgrades, to include a H7.0 block upgrade that will be required to implement full Link 16 capability, provide weapon improvements and integrate AIM-9X and Joint Standoff Weapon (JSOW). An H6.2 update included the Common Avionics Program, provided AV-8B a self-contained Global Positioning System navigation capability that is required to access preferred airspaces, including a Litening OFP V3, and initial Link 16 Precise Participant Location and Identification capability, which provided interoperability, digital combat identification and increased situational awareness on the battlefield.  Link 16 is a Top 10 item in the Operational Advisory and Systems Safety Groups.  The H7.0 OFP will fully implement the Harrier Link 16 integration, which will provide information sharing capabilities, integration of an increased number of Link 16 J-series messages and the ability to act on shared target track information.  Connection to the Link 16 network is vital to the AV-8B's ability to operate within some Command and Control situations and Operational Plans, as designed today, as well as provide a tactical capability for the more effective and safe prosecution of both airborne and ground targets. Continued AV-8B combat relevance and ability to respond to evolving and emergent threats through end of service is critical to the Marine Air-Ground Task Force's ability to generate aviation combat power throughout the transition to F-35B. J-series, K-series, Tactical Targeting Network Technology, and other emerging datalink technology messages, as well as compliance with crypto modernization requirements and ability to use GPS-modernized weapons, are required to support current and future mission threats. Linked performance on par with current tactical platforms as well as design to communicate with F-35 is required for the AV-8B to remain tactically relevant to transition. H7.0 will also include the integration and test of weapons and sensors such as, but not limited to, AIM-9X, JSOW and Litening OFP V4, and will integrate required Display Computer processing improvements to enable H7.0 functionality. Integration of these weapons, to include continued use of current weapons as they are upgraded to modernized GPS capability, is vital to the Harrier's continued combat relevance to the Marine Expeditionary Unit and Global Response Force Combatant Commanders particularly as obsolete AIM-9M inventory dwindles.   Additionally, software integration and stores expansion testing will be required for systems to include a Helmet Mounted Cueing System (HMCS), Unique Weapons, survivability and Countermeasures, Second Generation Anti-jam Tactical UHF Radio for NATO (SATURN) communication waveform and associated radio and communication systems upgrades, Advanced Precision Kill Weapons System (APKWS), AIM-9X, ALE-43, survivability upgrades, standoff weapons such as JSOW, Joint Air-to-Ground Missile (JAGM) and AIM-120 unique platform flight test which will be required to utilize updated AIM-120C variants on the AV-8B as well as test of emergent tactical requirements, and test of crypto modernization compliance. AV-8B funding also supports peculiar flight test requirements to include weapons integration/carriage and avionics, software/firmware upgrades, and avionics hardware component redesign activity. Studies and analyses will be conducted on systems such as survivability systems, HMCS, SATURN Communications and associated radio and communication systems upgrades, and Beyond Line of Sight (BLOS) to assess feasibility of integrating on the AV-8B. The ELMP is a comprehensive plan to increase and maintain safety of flight and operational readiness of the AV-8B F402-RR-408 Engine and accessories.  The program will accomplish this mission by conducting Engineering Project Description investigations to develop engineering solutions that address emergent safety, obsolescence, foreign object debris detection and prevention, fatigue life and maintenance issues.  The OR/RMP is required to ensure the AV-8B air vehicle's sustained mission availability, and safe and reliable operational readiness until end of service.  Air vehicle sustainment requires component and system analyses, technical planning, identification, prioritization, and diagnosis of emergent  problems and the allocation of resources for the development, testing and flight clearance of engineering solutions in the areas of flight, crew safety, and escape systems and structural integrity, obsolescence, systems reliability and maintainability, inventory preservation, alternative mission development, or other emergent material or equipment conditions affecting AV-8B systems readiness.  Activities include research/analysis for system safety deficiency corrections, fuel system safety improvements, structural analyses, monitoring and integrity analysis, component compatibility, component and materials obsolescence analyses and mitigation development, explorations for aging equipment, reliability improvement analyses and design developments.",524.857,27.057,16.749,10.146,0,10.146,0,0,0,0,AV-8B Aircraft - Engine Dev,Navy
105,Project,0604214M,0652,AV-8B,5,"This program provides for AV-8B Design, Development, Integration and Test of the following improvements:  Engine Life Management Program (ELMP), Operational Flight Programs (OFPs) and Avionics/Weapons Integration, Escape System, and Readiness Management Plan (RMP). The ELMP is a comprehensive plan to increase safety of flight and operational readiness of the AV-8B F402-RR-408 Engine and Gas Turbine Starter (GTS), as well as other critical engine components. The Program Office will accomplish this mission through the Component Improvement Program (CIP), which entails Engineering Project Description investigations to derive safety and reliability improvements to the engine and engine components. H7.0 OFP will integrate full Harrier Link 16 capability, provide software updates, integrate AIM-9X, a Litening Common OFP update, provide Advanced Precision Kill Weapons System (APKWS) integration improvements, Joint Standoff Weapon (JSOW) integration, and common avionics ADS-B (out), Mode 5, and Mode S Identification Friend or Foe capabilities as well as integrate required Radar Display Computer processing improvements to enable H7.0 functionality.  Other efforts include compliance with crypto modernization requirements, testing compatibility with GPS-modernized weapons, peculiar integration and flight test requirements such as AIM-120C flight test, as AIM-120A/B will become obsolete,  unique weapons, sensors, and countermeasures integration and stores expansion to include APKWS, Helmet Mounted Cueing System (HMCS), Beyond-Line-of-Sight (BLOS) communications, SATURN Communication Waveform and any associated radio/communication systems upgrades, AIM-9X, ALE-43, standoff weapons such as JSOW, and unique flight test, study and component redesign efforts of other avionics, sensors, or weapons systems , or emergent tactical requirements, as they arise. The program is working closely with the Common Avionics Program and the Allies (Spain and Italy) on all efforts. RMP represents all engineering activities for development, design and test to support aircraft safety, flight clearance and concept exploration for resolution of emergent safety, service life, escape systems, compatibility, obsolescence, and readiness issues as well as response to fleet urgent operational requirements.",524.857,27.057,16.749,10.146,0,10.146,0,0,0,0,AV-8B Aircraft - Engine Dev,Navy
114,PE,0604262N,,V-22A,05,"The V-22 Osprey is an Acquisition Category IC Joint Program led by the Department of the Navy for the purpose of developing, testing, evaluating, procuring and fielding a tilt rotor, vertical takeoff and landing aircraft for Joint Service application.  The V-22 program is designed to provide an aircraft to meet the amphibious/vertical assault needs of the Marine Corps, the Carrier Onboard Delivery (COD) needs of the Navy, and the special operations needs of the Air Force and the United States Special Operations Command (USSOCOM). The MV-22 variant replaced the CH-46E in the Marine Corps and the CMV-22 variant will replace the C-2A in the Navy. The CV-22 variant replaced the MH-53J and MH-53M and augments the C-130 in the Air Force and USSOCOM.  The V-22 is capable of flying over 2,100 nautical miles, with a single refueling, giving the services the advantage of a vertical/short take-off and landing aircraft that can rapidly self-deploy to any location in the world.  This program is funded under Engineering Manufacturing and Development (EMD) for correction of deficiencies and includes Block B upgrades which encompassed engineering and manufacturing development of new end-items prior to the production incorporation decision as well as Block C suitability and effectiveness development upgrades. Currently converting all Block B to Block C configuration.  Capability Development Document interoperability requirements were addressed through a spiral upgrade acquisition strategy.  It was the first spiral upgrade providing Key Enabling Department of Defense mandated open systems architecture upgrades for the mission computer hardware and software while simultaneously addressing required interoperability common avionics upgrades and current avionics obsolescence issues.  Future development efforts will include pre-planned-product-improvements in the capability development document and re-design efforts to correct critical Reliability, Maintainability and Availability issues in support of readiness Operational Safety Improvement Program as prioritized by the United States Marine Corps (USMC) or an Urgent Universal Needs Statement.   Note:   The first two CMV production aircraft were test aircraft. They were delivered in January/May 2020 to Patuxent River to support development testing. Operational testing (OT) began in January 2021 and was conducted as part of a carrier air wing work-up prior to deployment. OT is ongoing and focused on assessing the effectiveness and suitability of the CMV-22 as the COD platform in the carrier strike group. There is no Milestone C, because CMV-22 is being executed as an engineering change proposal (ECP) to V-22 Block C. Initial Operational Capability for CMV-22 is 4th Qtr FY 2021.",9616.14,184.443,132.427,107.984,0,107.984,0,0,0,0,V-22A,Navy
114,A/PP,0604262N,1425,V-22 Propulsion / Mission Care Hardware Development,5,,,1.446,2.219,1.849,0,1.849,,,,,V-22A,Navy
199,PE,0604840M,,F-35B C2D2,07,"The F-35 Joint Strike Fighter (JSF) Program will develop and field an affordable, highly common family of next generation strike aircraft for the United States Navy, United States Air Force, United States Marine Corps and International Partners countries. There are three variants the F-35A Conventional Takeoff and Landing variant; F-35B Short Take Off and Vertical Landing; and the F-35C Aircraft Carrier suitable variant. Maximum commonality among the variants, consistent with National Disclosure Policy, will minimize total air system life cycle costs. Planning and pre-development systems engineering for Block 4 continues as Initial Operational Capability (IOC) is met for each variant during System Development and Demonstration (SDD).  The JSF Continuous Capability Development & Delivery (C2D2) efforts provide incremental warfighting capability improvements to maintain joint air dominance against evolving threats. Block 4 capability requirements were initiated through ongoing Service-led operational analysis of warfighting gaps identified in the Fifth Generation Fighter Modernization Initial Capabilities Document (ICD), and through F-35 JSF Block 4 Mission Decomposition analysis completed in FY 2014. These analyses serve as the basis for the Block 4 (CDD), staffed through the Air Force Requirements Oversight Council (AFROC) and signed by the USAF Chief of Staff in January 2015. Joint Requirements Oversight Council (JROC) approved the CDD 21 March 2017. Modernization activities in FY 2017 and FY 2018 include systems engineering, risk reduction, and infrastructure required to deliver full air system Block 4 capabilities to support initial fleet availability of Block 4 upgrades in FY 2020 with the fielding of Auto Ground Collision Avoidance System (AGAS). Modernization activities in FY2021 and FY2022 continue with the incremental releases of Block 4 capabilities.   Block 4 efforts include a robust weapons integration portfolio and provide new opportunities for International Partners to assess, integrate, and field unique capabilities based on global sovereign requirements.  The United Kingdom, Italy, Netherlands, Canada, Australia, Denmark and Norway are participants in F-35 modernization. The program shown here reflects United States Marine Corps funding. Total funding for all Service and International Partners is reported at the accomplishment/planned program level since activities support all aircraft variants. Foreign Military Sales are ongoing separately.  PE 0604840M/N replacing PE 0604810M/N beginning in FY2019 due to budget being moved from BA05 to BA07.",1062.771,380.232,349.879,515.746,0,515.746,0,0,0,0,F-35B C2D2,Navy
199,Project,0604840M,2570,Propulsion (PP),7,"Propulsion F135 Block 4 Integrated Flight Test Support includes efforts such as Engine Flight Test Mechanics, Flight Test Engineers, Replacement Engine Hardware, Test Engine Procurements, and other associated government costs. For C2D2 to be able to continue to test all three aircraft variants, engine propulsion support is required to enable continued flying.  Increased flights and flight hours are planned over the next two years to meet additional Block 4 flight test timelines, requiring elevated propulsion support. All of the current Full Flight Release (FFR) engines supporting Flight Test are at or nearing their life limits, requiring the purchase of new Initial Service Release (ISR) engines to replace them. This replacement effort is planned to occur over the next one to two years to enable continued flight capability. There are additional requirements to support the Air Vehicle modernization efforts in agile software capability improvements, assessing bleed air/weight/thrust/performance capabilities, etc.",0,0,0,16.493,0,16.493,0,0,0,0,F-35B C2D2,Navy
199,A/PP,0604840M,3410,Propulsion (PP),7,,,10.667,11.809,0,0,0,,,,,F-35B C2D2,Navy
