Line#,Type,PE#,Project#,PE/Project/Accomplishments/Planned Programs Title,BA#,Description,Prior Years,FY 2021,FY 2022,FY 2023 Base,FY 2023 OCO,FY 2023 Total,FY 2024,FY 2025,FY 2026,FY 2027,Program Element Name,Organization
21,Project,0603216F,635098,Advanced Aerospace Propulsion,3,"This project develops and demonstrates, via ground and flight tests, the scramjet propulsion cycle to a technology readiness level appropriate for full integration with other engine cycles (including turbine and rocket-based) to provide the Air Force with transformational military capabilities. The primary focus is on the hydrocarbon- fueled, scramjet engine. Multi-cycle engines will provide the propulsion systems for possible application to support aircraft and weapon platforms. Efforts include: scramjet flow-path optimization to enable operation over the widest possible range of Mach numbers; active combustion control to assure continuous positive thrust (even during mode transition); robust flame-holding to maintain stability through flow distortions; and maximized volume-to-surface area to minimize the thermal load imposed by the high-speed engine. Thermal management plays a vital role in scramjet and combined cycle engines, including considerations for protecting low speed propulsion systems (e.g., turbine engines) during hypersonic flight.",0,0,17.019,17.437,0,17.437,23.213,36.438,37.255,38.083,Aerospace Propulsion and Power Technology,USAF
21,Project,0603216F,63681B,Advanced Turbine Engine Gas Generator,3,"This project develops and demonstrates technology to increase turbine engine operational reliability, durability, mission flexibility, and performance while reducing weight, fuel consumption, and cost of ownership. The objective is to provide continuous evolution of technologies into an advanced gas generator in which the performance, cost, durability, repairability, and maintainability can be assessed in a realistic engine environment. The gas generator, or core, is the basic building block of the engine and nominally consists of a compressor, a combustor, a high-pressure turbine, mechanical systems, and core subsystems. Experimental core engine demonstration validates engineering design tools and enhances rapid, low-risk transition of key engine technologies into engineering development, where they can be applied to derivative and/or new systems. These technologies are applicable to a wide range of military and commercial systems including aircraft, missiles, land combat vehicles, ships, and responsive space launch. Component technologies are demonstrated in a core (sub-engine). This project also assesses the impact of low spool components such as; inlet systems, fans, low pressure turbines, exhaust systems, and system level technologies such as; integrated power generators and thermal management systems on core engine performance, and durability in ground demonstrations of engine cores. The core performances of this project are validated on demonstrator engines in the Aircraft Propulsion Subsystem Integration Project of this program. A portion of this project supports the demonstration of adaptive cycle technologies, which develop component technology for an adaptive cycle engine architecture that provides optimized performance, fuel efficiency, and durability for widely varying mission needs.   In FY2023, Core Engine Technologies, High Pressure Ratio Core Engine Technologies, and Adaptive Turbine Engine Core Technologies efforts will transfer to Program 0603216F, Aerospace Propulsion and Power Technology, Project 634921, Aircraft Propulsion Subsystems Integration in order to  effectively and efficiently align resources to Aerospace Systems Core Technical Competencies.",0,40.152,20.816,0,0,0,0,0,0,0,Aerospace Propulsion and Power Technology,USAF
21,Project,0603216F,634921,Aircraft Propulsion Subsystems Int,3,"This project develops and demonstrates technology to increase turbine engine operational reliability, durability, mission flexibility, and performance while reducing weight, fuel consumption, and cost of ownership. The Aircraft Propulsion Subsystems Integration (APSI) project includes demonstrator engines for manned systems and efficient small-scale propulsion for remotely piloted aircraft and cruise missile applications. The demonstrator engines integrate the core (high- pressure spool) technology developed under  a joint multi-agency and aerospace industry project with the engine (low-pressure spool) technology such as fans, turbines, engine controls, mechanical systems, exhaust nozzles, and augmentors. Additionally, this project includes activities to improve propulsion safety and readiness. This project also focuses on integration of inlets, nozzles, engine-to-airframe compatibility, and power and thermal management subsystems technologies. The APSI project provides aircraft with potential for longer range and higher cruise speeds with lower specific fuel consumption, surge power for successful engagements, high sortie rates with reduced maintenance, reduced life cycle cost, and improved survivability, resulting in increased mission effectiveness. Technologies developed are applicable to sustained high-speed vehicles and responsive space launch. The Aircraft Propulsion Subsystems Integration project is focused on improving propulsion capabilities while at the same time reducing the cost of ownership. Anticipated technology advances include turbine engine improvements providing approximately twice the range for a sustained supersonic combat aircraft, doubling the time on station with ten times the power output for surveillance aircraft and propulsion for a high speed supersonic missile with double the range for time sensitive targets. A portion of this project supports the demonstration of adaptive cycle technologies, which develop component technology for an adaptive cycle engine architecture that provides optimized performance, fuel efficiency, high power extraction, integrated thermal management, and durability for widely varying mission needs.  This project includes the initiation and development of programs addressing DAF capability gaps and provides technologies for transformational future force capabilities. Transformational efforts will be identified through a competitive process and be responsive to DAF design priorities. Selected efforts will be designated as transformational, indicating enterprise-level priority.  In FY2023, Core Engine Technologies, High Pressure Ratio Core Engine Technologies, and Adaptive Turbine Engine Core Technology efforts transferred from Program 0603216F, Aerospace Propulsion & Power Technology, Project 63681B, Advanced Turbine Engine Gas Generator in order to effectively and efficiently align resources to Aerospace Systems Core Technical Competencies.",0,0,11.61,31.576,0,31.576,40.8,44.589,45.59,46.605,Aerospace Propulsion and Power Technology,USAF
39,PE,0604004F,,Advanced Engine Development,4,,0,642.581,583.712,353.658,0,353.658,757.468,917.761,937.646,955.867,Advanced Engine Development,USAF
39,Project,0604004F,643608,Advanced Engine Dev,4,"The Advanced Engine Development Program enables demonstration of adaptive engine prototypes.  This program is maturing fuel efficient adaptive engine component technologies and reducing associated risk in preparation for next-generation propulsion system development for combat aircraft applications.  Adaptive engine technology enables next generation combat aircraft capabilities by combining the efficiency of high bypass turbofans used by commercial airlines with the performance demanded of military fighter engines.  This technology has undergone initial development under the auspices of the Air Force Research Laboratory through the Adaptive Versatile Engine Technology (ADVENT) and Adaptive Engine Technology Demonstrator (AETD) programs.  This program element may include necessary emergent or unanticipated civilian pay expenses required to manage, execute, and deliver weapon system capability.  The use of such program funds would be in addition to the civilian pay expenses budgeted in program element 0605827F, 0605828F, 0605829F, 0605831F, 0605832F, 0605833F, 0605898F, 0606398F.  In FY 2021 3.064 million was expended for civilian pay expenses in this program element, and in FY 2022 2.199 million is forecasted for civilian pay expenses in this program element.  This effort is in Budget Activity 4, Advanced Component Development and Prototypes (ACD&P), because efforts are necessary to evaluate integrated technologies, representative modes or prototype systems in a high fidelity and realistic operating environment.",0,642.581,583.712,353.658,0,353.658,757.468,917.761,937.646,955.867,Advanced Engine Development,USAF
177,PE,0207268F,,Aircraft Engine Component Improvement Program,7,"The Aircraft Engine Component Improvement Program (CIP) provides the only source of critical sustaining engineering support for in-service Air Force engines to maintain flight safety (highest priority), to correct deficiencies, improve system Operational Readiness (OR) and Reliability & Maintainability (R&M), reduce engine Life Cycle Cost (LCC), and sustain engines throughout their service life.  Past investments have reduced warfighter Class A rates and decreased Engine Related Loss of Aircraft (ERLOA) and generated significant returns on investments. Significant requirements for FY22 and FY23 include Accelerated Mission Tests (AMTs) required to qualify complex redesigns enabling fleet incorporation of the improvement and providing risk reduction of recently fielded redesigns that were qualified by analysis.  The AMT provides early identification of safety/reliability issues prior to the operational fleet experiencing the safety and/or reliability issue.  Ongoing tasks for this year support addressing obsolescence and Diminishing Manufacturing Sources and Material Shortage (DMSMS) issues on the TF33 engine (B-52 aircraft), developing critical repairs and extending life limited parts to avoid $220M on the F119 engine (F-22 aircraft) in preparation for its 2nd depot interval, conducting accelerated mission test on the F135 engine, and eliminating critical safety concerns with the J85 engine (T-38 aircraft).  Engine CIP provides the only means to develop solutions to safety issues, obsolescence, reliability, availability, maintainability, and affordability driven by changes in aircraft operational parameters and missions, usage, or age.  It also serves as the primary vehicle to implement emerging technology solutions to resolve these issues and improve engine performance.  Engines are accepted into the CIP program after the first procurement-funded engine and continues over the engine's life, gradually decreasing to a minimum level (safety/depot repairs) sufficient to keep older engines operational. Engine CIP testing identifies and fixes engine-related problems ahead of operational impacts. R&M related Engine CIP efforts significantly reduce out year Operations and Maintenance (O&M) and spares costs.  This program element may include necessary civilian pay expenses required to manage, execute, and deliver system capability.  The use of such programs funds would be in addition to the civilian pay expenses budgeted in program element 0605827F, 0605828F, 0605829F, 0605831F, 0605832F, 0605833F, 0605898F, 0606398F. For FY21 $0.00 was expended, and for FY22 $0.00M is forecast for civilian pay expenses in this program. element.  This program is in Budget Activity 7, Operational System Development because this budget activity includes development efforts to upgrade systems that have been fielded or have received approval for full rate production and anticipate production funding in the current or subsequent fiscal year.",0,121.206,115.715,116.087,0,116.087,3.671,17.314,13.097,90.541,Aircraft Engine Component Improvement Program,USAF
177,Project,0207268F,671012,Aircraft Engine Component Improvement Program,7,"The Aircraft Engine Component Improvement Program (CIP) provides the only source of critical sustaining engineering support for in-service Air Force engines to maintain flight safety (highest priority), to correct deficiencies, improve system operational readiness (OR) and reliability & maintainability (R&M), reduce engine Life Cycle Cost (LCC), and sustain engines throughout their service life. Engine CIP directly addresses engine related causes to aircraft Non-Mission-Capability rates. Significant requirements for FY22 and FY23 include Accelerated Mission Tests (AMTs) required to qualify complex redesigns enabling fleet incorporation of the improvement and providing risk reduction of recently fielded redesigns that were qualified by analysis.  The AMT provides early identification of safety and reliability issues prior to the operational fleet experiencing the issue. Ongoing tasks for this year support addressing obsolescence and DMSMS issues on the TF33 engine (B-52 aircraft), developing critical repairs and extending life limited parts to avoid over $220M on the F119 engine (F-22 aircraft) program in preparations for its 2nd depot interval induction, and eliminating a safety concern with the J85 engine (T-38 aircraft).  Changes in aircraft operational parameters or missions accelerate the discovery of new engine issues and the need to resolve these issues. Engine CIP funding is driven by field events and types/maturity of engines, not by the total engine quantity. Engines are inducted into the program with government acceptance of the first procurement-funded engine and continues over the engine's life, gradually decreasing to a minimum level (safety/depot repairs) sufficient to keep older engines operational. Engine CIP testing identifies and fixes engine-related problems ahead of operational impacts. R&M related Engine CIP efforts significantly reduce out year Operations and Maintenance (O&M) and replacement spares costs.  Service-related engine deficiencies occur throughout the engine lifecycle. Given the uncertainty with regard to the number and timing of engine-related deficiencies, it is essential for the USAF to have adequate engineering capability, test capacity to rapidly respond to problems as they occur and absolutely paramount to reach SecDef directed 80% mission capability rate for F-22, F-16, and F-15 aircraft.  Minimal, if any, new tasks will be initiated in FY22/23.",0,93.644,75.754,86.538,0,86.538,3.671,17.314,13.097,49.379,Aircraft Engine Component Improvement Program,USAF
177,Project,0207268F,675365,F135 Aircraft Engine Component Improvement Program,7,"The F135 Aircraft Engine Component Improvement Program (CIP) supports the F-35 single-engine fighter propulsion system.  It provides the only source of critical developmental engineering support for the F135 propulsion system.  F135 CIP maintains flight safety (highest priority), corrects service revealed deficiencies, improves system Operational Readiness (OR) and Reliability & Maintainability (R&M), reduces propulsion system Life Cycle Cost (LCC), and sustains the propulsion system throughout its service life. Historically, aircraft systems change missions, tactics, and environment (including new fuels) and meet changing threats throughout their lives.  New technical problems can develop in the propulsion system through actual use and the F135 CIP provides the means to develop fixes for these problems.  F135 CIP funding is driven by field events and type/maturity of the propulsion system, not by the total quantity of engines.  The program starts with government acceptance of the first procurement-funded engine and continues over the propulsion system's life, gradually decreasing to a minimum level (safety/depot repairs) sufficient to keep older engines operational.  F135 CIP, through ""Lead the Fleet"" operational use and accelerated mission testing, identifies and fixes propulsion-related problems ahead of operational impacts.  F135 CIP ensures continued improvements in R&M, which reduce out year support costs.  Historically, R&M related CIP efforts significantly reduce out year O&M and spares costs.",0,27.562,39.961,29.549,0,29.549,0,0,0,41.162,Aircraft Engine Component Improvement Program,USAF
221,PE,0205633N,,Aviation Improvements,7,"Project 0601 - Common Ground Equipment is a Naval Aviation Project to apply new technology to common support equipment necessary to support multiple aircraft.    Project 0852: Consolidated Automated Support System (CASS) is a standardized Automated Test Equipment (ATE) with computer assisted, multi-function capabilities to support the maintenance of aircraft weapons systems and missiles. Electronic Warfare (EW) and Communication, Navigation and Identification (CNI) testers another type of standardized Automated Test Equipment with computer assisted, multi-function capabilities to support the maintenance of aircraft weapons systems. ATE host, and their Test Program Sets, along with associated ancillary are considered Automatic Test Systems (ATS). Line adjusted from ""eCASS Modernization"", to ""ATS Modernization"" to reflect inclusion of Electronic Warfare (EW) and Communication, Navigation and Identification (CNI) testers.  Project 1041 - Aircraft Equipment Reliability/Maintainability Improvement  Program is the only Navy program that provides engineering support for in-service out-of-production aircraft equipment, and provides increased readiness at reduced operational and support cost.    Project 1355 -  Aircraft Engine Component Improvement Program  develops reliability and maintainability and safety enhancements for in-service Navy aircraft engines, transmissions, propellers, starters, auxiliary power units, electrical generating systems, fuel systems, fuels, and lubricants.    Project 2269 - The Expeditionary Airfields (EAF) program designs, develops, tests and fields Airfield Light Systems to replace existing obsolete legacy EAF lighting system.  JUSTIFICATION FOR BUDGET ACTIVITY: This program is funded under OPERATIONAL SYSTEMS DEVELOPMENT because it includes development efforts to upgrade systems that have been fielded or have received approval for full rate production and anticipate funding in the current or subsequent fiscal year.",1810.758,122.884,144.621,130.45,0,130.45,137.96,128.476,128.668,130.273,Aviation Improvements,Navy
221,Project,0205633N,1355,Propulsion and Power Component Improvement Program,7,"The Propulsion and Power (P&P) Component Improvement Program (CIP) provides the only source of critical design and development engineering support to resolve safety, reliability  and maintainability deficiencies of in-service Navy and Marine Corps aircraft propulsion systems. The highest priority issues P&P CIP addresses concern safety-of-flight deficiencies, which account for approximately 80% of P&P CIP efforts. The program also corrects service-revealed deficiencies, improves Operational Readiness and Reliability and Maintainability, and reduces platform Life Cycle Cost. Budgets are allocated across platform-specific teams and multi-platform product support teams based upon long term strategies to achieve  safety and affordable readiness goals; the R-3 exhibit details annual portions of those long-term strategies. P&P CIP tasks have reduced the rate of in-flight aborts, safety incidents, non-mission capable rates, scheduled and unscheduled engine removals, maintenance work hours, and overall cost of ownership. This is accomplished through the maintenance and validation of specification performance, testing to qualify engineering changes, verifying life limits, and improving the inherent reliability of the propulsion and power systems as an integral part of Reliability Centered Maintenance initiatives. Historically, the missions, tactics, and environmental exposure of military aircraft systems change to meet new threats or operational demands, and often result in unforeseen problems, which if not corrected, can cause critical safety/readiness degradation, such as those experienced during OPERATIONS DESERT SHIELD/DESERT STORM, ENDURING FREEDOM, and IRAQI FREEDOM due to sand erosion. In addition, new problems arise through actual fleet deployment and usage of the aircraft. System development programs, while geared to resolve as many problems as possible before deployment, cannot duplicate actual operations or account for the vast array of environmental and usage variables, particularly when aircraft missions vary from those that the aircraft was designed to perform. Therefore, it has been found that P&P CIP can provide an immediate engineering response to these flight-critical problems and accelerated engine testing can avoid potential problems. P&P CIP starts after development and Navy acceptance of the first production article and addresses usage and life problems not covered by warranties. P&P CIP addresses engines, transmissions, propellers, starters, auxiliary power units, electrical generating systems, aircraft wiring, and fuel and lubricant systems. These efforts continue over the system's life, gradually decreasing to a minimum level sufficient to maintain the reliability, and decrease the operating costs, of older inventory. P&P CIP is a highly leveraged and cooperative tri-service program with Foreign Military Sales participation.",1433.602,106.239,101.313,111.812,0,111.812,118.966,111.851,112.883,114.852,Aviation Improvements,Navy
105,PE,0604214M,,AV-8B Aircraft - Engine Dev,5,"The program provides for AV-8B Design, Development, Integration, and Test of various platform improvements such as: Engine Life Management Program (ELMP), Escape Systems, Joint Mission Planning System (JMPS), and Block upgrades to various mission systems and software Operational Flight Programs (OFPs) to include JMPS integration, avionics and communications systems, navigation equipment, weapons carriage and countermeasures, and studies and analyses of future capability expansion and unique flight testing.  The program also provides for addressing obsolescence and readiness of avionics structural, hydraulic, electrical, environmental and mechanical systems to include engineering activities for development and design to support aircraft safety flight clearances, concept explorations, responses to evolving threats and developments to support Program Objective Memorandum.    The program's Evolutionary Acquisition Strategy includes Design, Development, Integration, and Test activities under the consolidated effort of Block Developments: The program's Evolutionary Acquisition Strategy includes Design, Development, Integration, and Test activities under the consolidated effort of Block Developments which includes H7.0 and follow-on block upgrades. The H7.0 block upgrade will implement full Link 16 capability, provide weapon improvements and integrate AIM-9X and Joint Standoff Weapon (JSOW). Link 16 is a Top 10 item in the Operational Advisory and Systems Safety Groups. The H7.0 OFP will fully implement the Harrier Link 16 integration, which will provide information sharing capabilities, integration of an increased number of Link 16 J-series messages and the ability to act on shared target track information.  Connection to the Link 16 network is vital to the AV-8B's ability to operate within some Command and Control situations and Operational Plans, as designed today, as well as provide a tactical capability for the more effective and safe prosecution of both airborne and ground targets. Continued AV-8B combat relevance and ability to respond to evolving and emergent threats through end of service is critical to the Marine Air-Ground Task Force's ability to generate aviation combat power throughout the transition to F-35B. J-series, K-series, Tactical Targeting Network Technology, and other emerging datalink technology messages, as well as compliance with crypto modernization requirements and ability to use GPS-modernized weapons, are required to support current and future mission threats. Linked performance on par with current tactical platforms as well as design to communicate with F-35 is required for the AV-8B to remain tactically relevant to transition. H7.0 will also include the integration and test of weapons and sensors such as, but not limited to, AIM-9X, JSOW and Litening OFP V4, and will integrate required Display Computer processing improvements to enable H7.0 functionality. Integration of these weapons, to include continued use of current weapons as they are upgraded to modernized GPS capability, is vital to the Harrier's continued combat relevance to the Marine Expeditionary Unit and Global Response Force Combatant Commanders particularly as obsolete AIM-9M inventory dwindles.   Additionally, software integration and stores expansion testing will be required for systems to include a Helmet Mounted Cueing System (HMCS), Unique Weapons, survivability and Countermeasures, Second Generation Anti-jam Tactical UHF Radio for NATO (SATURN) communication waveform and associated radio and communication systems upgrades, Advanced Precision Kill Weapons System (APKWS), AIM-9X, AIM-120, ALE-43, survivability upgrades, standoff weapons such as JSOW and Joint Air-to-Ground Missile (JAGM) as well as test of emergent tactical requirements, and test of crypto modernization compliance. AV-8B funding also supports peculiar flight test requirements to include weapons integration/carriage and avionics, software/firmware upgrades, and avionics hardware component redesign activity. Studies and analyses will be conducted on systems such as survivability systems, HMCS, SATURN Communications and associated radio and communication systems upgrades, and Beyond Line of Sight (BLOS) to assess feasibility of integrating on the AV-8B. The program also provides for the AV-8B air vehicle's sustained mission availability, and safe and reliable operational readiness until end of service.  Sustainment of the aircraft structure, subsystems and software requires component and system analyses, technical planning, identification, prioritization and diagnosis of emergent problems and the allocation of resources for the development, testing, and flight clearance of engineering solutions in the areas of flight, crew safety and escape systems and structural integrity, obsolescence, systems reliability and maintainability, inventory preservation, alternative mission development or other emergent material or equipment conditions affecting AV-8B systems readiness. Activities include research/analysis for system safety deficiency corrections, fuel system safety improvements, structural analyses, monitoring and integrity analysis, component compatibility, component and materials obsolescence analyses and mitigation development, explorations for aging equipment, reliability improvement analyses and design developments.  The ELMP is a comprehensive plan to increase and maintain safety of flight and operational readiness of the AV-8B F402-RR-408 Engine and accessories.  The program will accomplish this mission by conducting Engineering Project Description investigations to develop engineering solutions that address emergent safety, obsolescence, foreign object debris detection and prevention, fatigue life and maintenance issues.",551.914,16.543,10.146,9.205,0,9.205,8.358,8.656,8.94,9.684,AV-8B Aircraft - Engine Dev,Navy
105,Project,0604214M,652,AV-8B,5,"This program provides for AV-8B Design, Development, Integration and Test of the following improvements:  Engine Life Management Program (ELMP), Operational Flight Programs (OFPs) and Avionics/Weapons Integration, Escape System, readiness and obsolescence management. The ELMP is a comprehensive plan to increase safety of flight and operational readiness of the AV-8B F402-RR-408 Engine and Gas Turbine Starter (GTS), as well as other critical engine components. The Program Office will accomplish this mission through the Component Improvement Program (CIP), which entails Engineering Project Description investigations to derive safety and reliability improvements to the engine and engine components. H7.0 OFP will integrate full Harrier Link 16 capability, provide software updates, integrate AIM-9X, a Litening Common OFP update, provide Advanced Precision Kill Weapons System (APKWS) integration improvements, Joint Standoff Weapon (JSOW) integration, and common avionics ADS-B (out), Mode 5, and Mode S Identification Friend or Foe capabilities as well as integrate required Radar Display Computer processing improvements to enable H7.0 functionality.  Other efforts include compliance with crypto modernization requirements, testing compatibility with GPS-modernized weapons, peculiar integration and flight test requirements such as weapons integration and testing, sensors, and countermeasures integration and stores expansion to include APKWS, Helmet Mounted Cueing System (HMCS), Beyond-Line-of-Sight (BLOS) communications, SATURN Communication Waveform and any associated radio/communication systems upgrades, AIM-9X, ALE-43, standoff weapons such as JSOW, and unique flight test, study and component redesign efforts of other avionics, sensors, structural components, aircraft subsystems, weapons systems, or emergent tactical requirements as they arise. The program is working closely with the Common Avionics Program and the Allies (Spain and Italy) on all efforts. Efforts also include engineering activities for development, design and test to support aircraft safety, flight clearance and concept exploration for resolution of emergent safety, service life, escape systems, compatibility, obsolescence, and readiness issues as well as response to fleet urgent operational requirements.",551.914,16.543,10.146,9.205,0,9.205,8.358,8.656,8.94,9.684,AV-8B Aircraft - Engine Dev,Navy
114,PE,0604262N,,V-22A,5,"The V-22 Osprey is an Acquisition Category IC Joint Program led by the Department of the Navy for the purpose of developing, testing, evaluating, procuring and fielding a tilt rotor, vertical takeoff and landing aircraft for Joint Service application.  The V-22 program is designed to provide an aircraft to meet the amphibious/vertical assault needs of the Marine Corps, the Carrier Onboard Delivery needs of the Navy, and the special operations needs of the Air Force and the United States Special Operations Command (USSOCOM). The MV-22 variant replaced the CH-46E in the Marine Corps and the CMV-22 variant will replace the C-2A in the Navy. The CV-22 variant replaced the MH-53J and MH-53M and augments the C-130 in the Air Force and USSOCOM.  The V-22 is capable of flying over 2,100 nautical miles, with a single refueling, giving the services the advantage of a vertical/short take-off and landing aircraft that can rapidly self-deploy to any location in the world.  This program is funded under Engineering Manufacturing and Development for correction of deficiencies and includes Block B upgrades which encompassed engineering and manufacturing development of new end-items prior to the production incorporation decision as well as Block C suitability and effectiveness development upgrades. Currently converting all Block B to Block C configuration.  Capability Development Document interoperability requirements were addressed through a spiral upgrade acquisition strategy.  It was the first spiral upgrade providing Key Enabling Department of Defense mandated open systems architecture upgrades for the mission computer hardware and software while simultaneously addressing required interoperability common avionics upgrades and current avionics obsolescence issues.  Future development efforts will include pre-planned-product-improvements in the capability development document and re-design efforts to correct critical Reliability, Maintainability and Availability issues in support of readiness Operational Safety Improvement Program as prioritized by the United States Marine Corps (USMC) or an Urgent Universal Needs Statement.",9787.695,128.4,105.729,125.233,0,125.233,136.158,106.511,122.453,105.024,V-22A,Navy
114,A/PP,0604262N,1425,V-22 Propulsion / Mission Care Hardware Development,5,,,0.844,1.849,1.886,0,1.886,,,,,V-22A,Navy
201,PE,0604840M,,F-35B C2D2,7,"The F-35 Joint Strike Fighter (JSF) Program will develop and field an affordable, highly common family of next generation strike aircraft for the United States Navy, United States Air Force, United States Marine Corps and International Partners countries. There are three variants the F-35A Conventional Takeoff and Landing variant; F-35B Short Take Off and Vertical Landing; and the F-35C Aircraft Carrier suitable variant. Maximum commonality among the variants, consistent with National Disclosure Policy, will minimize total air system life cycle costs. Planning, systems engineering, development, and testing for Block 4 continues across the F-35 Air System to include the air vehicle, propulsion system, combat data systems, maintenance systems, and training systems as Initial Operational Capability (IOC) has been met for each variant.  The JSF Continuous Capability Development & Delivery(C2D2) efforts provide incremental warfighting capability improvements to maintain joint air dominance against evolving threats. Block 4 capability requirements were initiated through ongoing Service-led operational analysis of warfighting gaps identified in the Fifth Generation Fighter Modernization Initial Capabilities Document (ICD), and through F-35 JSF Block 4 Mission Decomposition analysis completed in FY2014. These analyses served as the basis for the Block 4 Capability Development Document (CDD), staffed through the Air Force Requirements Oversight Council (AFROC) and signed by the USAF Chief of Staff in January 2015. Joint Requirements Oversight Council (JROC) approved the CDD 21 March 2017.)  Modernization activities in FY2022 and FY2023 continue with the incremental releases of Block 4 capabilities.  Block 4 efforts include a robust weapons integration portfolio and provide new opportunities for International Partners to assess, integrate, and field unique capabilities based on global sovereign requirements.  The United Kingdom, Italy, Netherlands, Canada, Australia, Denmark and Norway are participants in F-35 modernization. The program shown here reflects United States Navy funding. Total funding for all Service and International Partners is reported at the accomplishment/planned program level since activities support all aircraft variants. Foreign Military Sales are ongoing separately.  PE 0604840M/N replacing PE 0604810M/N beginning in FY2019 due to budget being moved from BA05 to BA07.   JUSTIFICATION FOR BUDGET ACTIVITY: This program is funded under OPERATIONAL SYSTEMS DEVELOPMENT because it includes development efforts to upgrade systems that have been fielded or have received approval for full rate production and anticipate funding in the current or subsequent fiscal year.",1443.003,378.495,515.746,525.338,0,525.338,409.61,349.243,316.76,321.569,F-35B C2D2,Navy
201,Project,0604840M,2570,Propulsion (PP),7,"Propulsion F135 projects within the Continuous Capability Development & Delivery (C2D2) are provided for developmental efforts for propulsion systems and test engine requirements such as Block 4 Integrated Flight Test Support, Engine Flight Test Mechanics, Flight Test Engineering, Engine Hardware, Test Engine Procurements, research, component and capability development, prototypes, various studies, and other associated government costs integral to support the developmental stages for engine modernization and improvement to support the F135 Air Vehicle. Testing and development of the three F135 aircraft variants require engine propulsion funding to enable continued flight hours. Flight hours are budgeted and planned to meet the Block 4 flight test timelines, and required Flight Test support. Flight Test Support efforts will transition to Organic support by FY2026. Transition of Flight Test Support requirements to organic capability includes efforts performed by contractor and government installations, Autonomic Logistics Information System / Operational Data Integrated Network (ALIS/ODIN) transition, and Final Flight Release (FFR) engine support efforts. Propulsion C2D2 provides funding for requirements to support the Air Vehicle modernization efforts with signature predicting improvements and a bridge program for engine modernization. Engine Modernization is predicted to begin in FY2024.",0,0,16.493,7.436,0,7.436,0.419,0.41,0.402,0.385,F-35B C2D2,Navy
201,A/PP,0604840M,3410,Propulsion (PP),7,,,11.809,0,0,0,0,,,,,F-35B C2D2,Navy
202,PE,0604840N,,F-35C C2D2,7,"The F-35 Joint Strike Fighter (JSF) Program will develop and field an affordable, highly common family of next generation strike aircraft for the United States Navy, United States Air Force, United States Marine Corps and International Partners countries. There are three variants the F-35A Conventional Takeoff and Landing variant; F-35B Short Take Off and Vertical Landing; and the F-35C Aircraft Carrier suitable variant. Maximum commonality among the variants, consistent with National Disclosure Policy, will minimize total air system life cycle costs. Planning, systems engineering, development, and testing for Block 4 continues across the F-35 Air System to include the air vehicle, propulsion system, combat data systems, maintenance systems, and training systems as Initial Operational Capability (IOC) has been met for each variant.  The JSF Continuous Capability Development & Delivery(C2D2) efforts provide incremental warfighting capability improvements to maintain joint air dominance against evolving threats. Block 4 capability requirements were initiated through ongoing Service-led operational analysis of warfighting gaps identified in the Fifth Generation Fighter Modernization Initial Capabilities Document (ICD), and through F-35 JSF Block 4 Mission Decomposition analysis completed in FY2014. These analyses served as the basis for the Block 4 Capability Development Document (CDD), staffed through the Air Force Requirements Oversight Council (AFROC) and signed by the USAF Chief of Staff in January 2015. Joint Requirements Oversight Council (JROC) approved the CDD 21 March 2017.)  Modernization activities in FY2022 and FY2023 continue with the incremental releases of Block 4 capabilities.  Block 4 efforts include a robust weapons integration portfolio and provide new opportunities for International Partners to assess, integrate, and field unique capabilities based on global sovereign requirements.  The United Kingdom, Italy, Netherlands, Canada, Australia, Denmark and Norway are participants in F-35 modernization. The program shown here reflects United States Navy funding. Total funding for all Service and International Partners is reported at the accomplishment/planned program level since activities support all aircraft variants. Foreign Military Sales are ongoing separately.  PE 0604840M/N replacing PE 0604810M/N beginning in FY2019 due to budget being moved from BA05 to BA07.   JUSTIFICATION FOR BUDGET ACTIVITY: This program is funded under OPERATIONAL SYSTEMS DEVELOPMENT because it includes development efforts to upgrade systems that have been fielded or have received approval for full rate production and anticipate funding in the current or subsequent fiscal year.",1395.881,377.005,486.962,491.513,0,491.513,386.118,324.49,295.983,300.659,Propulsion (PP),Navy
202,Project,0604840N,2556,Propulsion (PP),7,"Propulsion F135 projects within the Continuous Capability Development & Delivery (C2D2) are provided for developmental efforts for propulsion systems and test engine requirements such as Block 4 Integrated Flight Test Support, Engine Flight Test Mechanics, Flight Test Engineering, Engine Hardware, Test Engine Procurements, research, component and capability development, prototypes, various studies, and other associated government costs integral to support the developmental stages for engine modernization and improvement to support the F135 Air Vehicle. Testing and development of the three F135 aircraft variants require engine propulsion funding to enable continued flight hours. Flight hours are budgeted and planned to meet the Block 4 flight test timelines, and required Flight Test support. Flight Test Support efforts will transition to Organic support by FY2026. Transition of Flight Test Support requirements to organic capability includes efforts performed by contractor and government installations, Autonomic Logistics Information System / Operational Data Integrated Network (ALIS/ODIN) transition, and Final Flight Release (FFR) engine support efforts. Propulsion C2D2 provides funding for requirements to support the Air Vehicle modernization efforts with signature predicting improvements and a bridge program for engine modernization. Engine Modernization is predicted to begin in FY2024.",0,0,16.493,7.415,0,7.415,0.407,0.399,0.393,0.379,Propulsion (PP),Navy
202,A/PP,0604840N,2936,Propulsion (PP),7,,,12.814,0,0,0,0,,,,,Propulsion (PP),Navy
