,PE#,Project#,PE/Project/Accomplishments/Planned Programs Title,,PB19,PB20,PB21,PB22,PB23,,,,,,,
6,Project,0602201F,623066,Turbine Engine Technology,2,"This project develops technology to increase turbine engine operational reliability, durability, mission flexibility, and performance, while reducing weight, fuel consumption, and cost of ownership. Analytical and experimental areas of emphasis are fans and compressors, high temperature combustors, turbines, internal flow systems, controls, augmentor and exhaust systems, integrated power and thermal management systems, engine inlet integration, mechanical systems, adaptive cycle technologies, and structural design. The project investigates advanced propulsion, power, and thermal management system for subsonic, supersonic, or hypersonic vision systems for the 2025-2035 timeframe to:  Develop and demonstrate propulsion technologies for subsonic expendable and attritable air platforms; develop and validate targeted life component design, materials, and modeling tools for all engine classes; develop advanced turbine engine technologies to enable significantly increased range and dash speed; investigate durability, efficiency, and specific power with reduced cost of ownership for reusable engines; develop pervasive, hydrocarbon fueled pressure gain propulsion technologies that offer increased efficiency, reduced propulsion system volume/weight, and truly disruptive vehicle performance to the warfighter; evaluate lubricants, mechanical systems, and combustion concepts for advanced turbine engines, pressure gain propulsion, and combined cycle engines; analysis for an adaptive cycle engine architecture that provides both optimized performance and fuel efficiency for widely varying mission needs.  This project supports joint Department of Defense, agency, and industry efforts to focus turbine propulsion technology on national needs. The project plan is relevant across capability areas for global responsive air superiority, strike, tactical and global mobility, responsive space lift, and persistent intelligence, surveillance, and reconnaissance (ISR).",0.000,2.924,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,PE,0602203F,,Aerospace Propulsion,02,"This effort develops propulsion and power technologies to achieve enabling and revolutionary aerospace technology capabilities. The effort has six current projects, each focusing on a technology area critical to the Department of the Air Force. The Advanced Propulsion Technology project develops high-speed air breathing propulsion engines to include combined cycle, ramjet, and hypersonic scramjet technologies. The Combustion and Mechanical Systems project develops engine mechanical system technologies: bearings, seals, drives, and lubricants as well as combustion components, concepts, and technologies for legacy and advanced turbine engines. The Turbine Engine Technology project develops enabling capabilities to enhance performance and affordability of existing weapon systems and develops component technologies for ultra-high pressure ratio, substantially improved durability, and adaptive cycle engine architecture to provide optimized performance, fuel efficiency, and life for widely varying mission needs. The Aerospace Power Technology project develops electrical power and thermal control technologies for military applications that remove operational limitations and enable advanced vehicle designs and high-power mission systems. The Missile Rocket Propulsion project develops advances in rocket propulsion technologies for tactical missiles and the sustainment of strategic systems. The Aerospace Fuel Technology project evaluates fuels and related technologies for legacy and advanced turbine engines, scramjets, rotating detonation engines and combined-cycle engines. Efforts in this program have been coordinated through the Department of Defense (DoD) Science and Technology (S&T) Executive Committee process to harmonize efforts and eliminate duplication.  This program element may include necessary civilian pay expenses required to manage, execute, and deliver science & technology capabilities. The use of program funds in this program element would be in addition to the civilian pay expenses budgeted in program elements 0601102F, 0602020F, 0602102F, 0602201F,0602202F, 0602204F, 0602602F, 0602605F, 0602788F, 0602298F, and 1206601SF.  Funds in this program element may be used to investigate specified technology advancements in air, space and/or cyber domains.  All transfers detailed below are administrative realignments due to the stand up of the United States Space Force, and not new starts. This work will continue to be executed by the Air Force Research Laboratory Aerospace Systems Technology Directorate located in Wright Patterson Air Force Base, OH, Edwards Air Force Base, CA, or Arnold Air Force Base, TN.  In FY 2022, the work and funding associated with space technology research in Program 0602203F, Aerospace Propulsion, Project 624847, Rocket Propulsion Technology, are transferred to Appropriation 3620F, Research, Development, Test & Evaluation, Space Force, Program 1206601SF, Project 624847, Rocket Propulsion Technology, due to the creation of a new Appropriation for Space Force.  In FY 2022, the work and funding associated with missile rocket propulsion technologies in Program 0602203F, Aerospace Propulsion are transferred from Project 624847, Rocket Propulsion Technology to Project 625171, Missile Rocket Propulsion Technology due to the creation of a new Appropriation for Space Force.  This program is in Budget Activity 2, Applied Research because this budget activity includes studies, investigations, and non-system specific technology efforts directed toward general military needs with a view toward developing and evaluating the feasibility and practicality of proposed solutions and determining their parameters.",0.000,190.732,190.683,172.861,0.000,172.861,174.787,176.980,180.725,184.647
8,Project,0602203F,623012,Advanced Propulsion Technology,2,"This project develops combined/advanced cycle air breathing high-speed and hypersonic propulsion technologies to provide revolutionary propulsion options for the Air Force. These new engine technologies will enable future high-speed/hypersonic weapons and aircraft concepts. The primary focus is on hydrocarbon-fueled engines capable of operating over a broad range of flight Mach numbers. Efforts include modeling, simulations, and proof of concept demonstrations of critical components; advanced component development; and ground-based demonstrations.",0.000,8.338,17.679,17.358,0.000,17.358,17.674,18.021,18.402,18.802
8,Project,0602203F,623048,Combustion and Mechanical Systems,2,"This project evaluates lubricants, mechanical systems, and combustion concepts for advanced turbine engines, rotating detonation engines, and combined cycle engines. This project also develops technologies to increase turbine engine operational reliability, durability, mission flexibility, maintainability, and performance while reducing weight, fuel consumption, and cost of ownership. Applications include: missiles, aircraft, and re-usable high-speed vehicles. Analytical and experimental areas of emphasis include: lubricants, bearings, mechanical systems diagnostics, mechanical systems prognostics, rotor dynamics, oil-less engine technology, optical diagnostics, fundamental combustion, detonations, combustors, and afterburners. Lubricants for these engines must be thermally stable, cost-effective, and operate over a broad range of conditions. Advanced combustion concepts must be cost-effective, durable, and reduce pollutant emissions. A portion of this project supports evaluation of technologies for future conceptual cycles. This project develops component technologies for future conceptual engine cycles and architectures that provide both optimized performance and fuel efficiency for widely varying mission needs.  In FY2023, Combustion Technologies, Diagnostic Technologies, and Bearing Technologies efforts in this Project will transfer to Program 0602203F, Aerospace Propulsion, Project 623066, Turbine Engine Technology, in order to effectively and efficiently align resources to Aerospace Systems Core Technical Competencies.",0.000,3.481,11.345,4.659,0.000,4.659,4.756,4.858,4.961,5.065
8,Project,0602203F,623066,Turbine Engine Technology,2,"This project develops technology to increase turbine engine operational reliability, durability, mission flexibility, and performance, while reducing weight, fuel consumption, and cost of ownership. Analytical and experimental areas of emphasis are fans and compressors, high temperature combustors, turbines, internal flow systems, controls, augmentor and exhaust systems, integrated power and thermal management systems, engine inlet integration, mechanical systems, conceptual cycle technologies, and structural design. This project develops component technology for an adaptive cycle engine architecture that provides both optimized performance and fuel efficiency for widely varying mission needs. This project supports joint Department of Defense, agency, and industry efforts to focus turbine propulsion technology on national needs. The project plan is relevant across capability areas for global responsive strike, tactical and global mobility, responsive space lift, and persistent intelligence, surveillance, and reconnaissance (ISR).  In FY2023, Combustion Technologies, Diagnostic Technologies, and Bearing Technologies efforts will transfer from PE 0602203F, Aerospace Propulsion, Project 623048, Combustion and Mechanical Systems, to this Project 623066 Turbine Engine Technology, in order to effectively and efficiently align resources to Aerospace Systems Core Technical Competencies.",0.000,58.252,68.350,68.146,0.000,68.146,69.777,70.973,72.441,74.018
8,Project,0602203F,625330,Aerospace Fuel Technology,2,"This project evaluates fuels for legacy and advanced turbine engines, scramjets, detonation, and combined cycle engines. This project also considers fuel related concepts that can increase turbine engine operational reliability, durability, mission flexibility, energy efficiency, and performance while reducing weight, fuel consumption, and cost of ownership. Applications include missiles, aircraft, sustained high-speed vehicles, hypersonic, and responsive space launch. Analytical and experimental areas of emphasis include evaluations of fuel properties and characteristics of traditional fuels and alternative fuels developed from unconventional sources, specialty fuels, and components development used in integrated thermal and energy management systems including high heat sink fuel capability, fuels logistics and associated vulnerabilities, and combustion diagnostics and engine emissions measurements.",0.000,6.295,8.638,8.460,0.000,8.460,8.657,8.811,8.997,9.193
21,PE,0603216F,,Aerospace Propulsion and Power Technology,03,"This program develops and demonstrates technologies to achieve enabling and revolutionary advances in turbine, advanced-cycle, rocket, and space propulsion as well as electrical power, thermal management, and fuels.  The program has five current projects, each focusing on technologies with a high potential to enhance the performance of existing and future Air Force weapon systems.  The Aerospace Power Technology project develops and demonstrates adaptive power and thermal management components, controls, and systems for high-power payloads and aircraft as part of energy-optimized aircraft development.  The Aircraft Propulsion Subsystems Integration project develops demonstrator engines by integrating the engine cores demonstrated in the Advanced Turbine Engine Gas Generator project with low-pressure components.  The Advanced Aerospace Propulsion project develops the scramjet propulsion cycle to a technology readiness level appropriate for in-flight demonstration and for full integration with other engine cycles (including turbine and rocket based).  The Advanced Turbine Engine Gas Generator project develops and demonstrates core turbine engine technologies for current and future aircraft propulsion systems. The Missile Rocket Propulsion project develops and demonstrates innovative rocket propulsion technologies, propellants, and manufacturing techniques.  All transfers detailed below are administrative realignments due to the stand up of the United States Space Force, and not new starts. This work will continue to be executed by the Air Force Research Laboratory Aerospace Systems Technology Directorate located in Wright Patterson Air Force Base, OH, Edwards Air Force Base, CA, or Arnold Air Force Base, TN.  In FY 2022, the work and funding associated with advanced space technology demonstrations in Program 0603216F, Aerospace Propulsion, Project 634922, Space & Missile Rocket Propulsion, are transferred to Appropriation 3620F, Research, Development, Test & Evaluation, Space Force, Program 1206616SF, Space Advanced Technology Development/Demo, Project 634922, Space & Missile Rocket Propulsion, due to the creation of a new Appropriation for Space Force.  In FY 2022, the work and funding associated with missile rocket propulsion technologies in Program 0603216F, Aerospace Propulsion, are transferred from Project 634922, Space & Missile Rocket Propulsion, to Project 634093, Missile Rocket Propulsion Integ & Demo due to the creation of a new Appropriation for Space Force.  The Department of the Air Force technologies in this program are both enabling and enduring as we invest in maturing emerging technologies that address established mission gaps, and transformational technologies that address integrated enterprise capabilities intended to reshape the future force across air, space, and cyber warfighting domains. Development of transformational operational capabilities through advanced technology solutions focuses on five strategic capabilities: Global Persistent Awareness; Resilient Information Sharing; Rapid, Effective Decision-Making; Complexity, Unpredictability, and Mass; and Speed and Reach of Disruption and Lethality.  This program element may include necessary civilian pay expenses required to manage, execute, and deliver science & technology capabilities. The use of program funds in this program element would be in addition to the civilian pay expenses budgeted in program elements 0601102F, 0602020, 0602102F, 0602201F, 0602202F,0602203F, 0602204F, 0602602F, 0602605F, 0602788F, 0602298F, and 1206601SF.  Projects in this program have been coordinated through the Department of Defense (DoD) Science and Technology (S&T) Executive Committee process to harmonize efforts and eliminate duplication.  This program is in Budget Activity 3, Advanced Technology Development because this budget activity includes development of subsystems and components and efforts to integrate subsystems and components into system prototypes for field experiments and/or tests in a simulated environment.",0.000,159.354,110.273,64.254,0.000,64.254,85.665,104.409,107.943,110.344
21,Project,0603216F,635098,Advanced Aerospace Propulsion,3,"This project develops and demonstrates, via ground and flight tests, the scramjet propulsion cycle to a technology readiness level appropriate for full integration with other engine cycles (including turbine and rocket-based) to provide the Air Force with transformational military capabilities. The primary focus is on the hydrocarbon- fueled, scramjet engine. Multi-cycle engines will provide the propulsion systems for possible application to support aircraft and weapon platforms. Efforts include: scramjet flow-path optimization to enable operation over the widest possible range of Mach numbers; active combustion control to assure continuous positive thrust (even during mode transition); robust flame-holding to maintain stability through flow distortions; and maximized volume-to-surface area to minimize the thermal load imposed by the high-speed engine. Thermal management plays a vital role in scramjet and combined cycle engines, including considerations for protecting low speed propulsion systems (e.g., turbine engines) during hypersonic flight.",0.000,0.000,17.019,17.437,0.000,17.437,23.213,36.438,37.255,38.083
21,Project,0603216F,63681B,Advanced Turbine Engine Gas Generator,3,"This project develops and demonstrates technology to increase turbine engine operational reliability, durability, mission flexibility, and performance while reducing weight, fuel consumption, and cost of ownership. The objective is to provide continuous evolution of technologies into an advanced gas generator in which the performance, cost, durability, repairability, and maintainability can be assessed in a realistic engine environment. The gas generator, or core, is the basic building block of the engine and nominally consists of a compressor, a combustor, a high-pressure turbine, mechanical systems, and core subsystems. Experimental core engine demonstration validates engineering design tools and enhances rapid, low-risk transition of key engine technologies into engineering development, where they can be applied to derivative and/or new systems. These technologies are applicable to a wide range of military and commercial systems including aircraft, missiles, land combat vehicles, ships, and responsive space launch. Component technologies are demonstrated in a core (sub-engine). This project also assesses the impact of low spool components such as; inlet systems, fans, low pressure turbines, exhaust systems, and system level technologies such as; integrated power generators and thermal management systems on core engine performance, and durability in ground demonstrations of engine cores. The core performances of this project are validated on demonstrator engines in the Aircraft Propulsion Subsystem Integration Project of this program. A portion of this project supports the demonstration of adaptive cycle technologies, which develop component technology for an adaptive cycle engine architecture that provides optimized performance, fuel efficiency, and durability for widely varying mission needs.   In FY2023, Core Engine Technologies, High Pressure Ratio Core Engine Technologies, and Adaptive Turbine Engine Core Technologies efforts will transfer to Program 0603216F, Aerospace Propulsion and Power Technology, Project 634921, Aircraft Propulsion Subsystems Integration in order to  effectively and efficiently align resources to Aerospace Systems Core Technical Competencies.",0.000,40.152,20.816,0.000,0.000,0.000,0.000,0.000,0.000,0.000
21,Project,0603216F,634921,Aircraft Propulsion Subsystems Int,3,"This project develops and demonstrates technology to increase turbine engine operational reliability, durability, mission flexibility, and performance while reducing weight, fuel consumption, and cost of ownership. The Aircraft Propulsion Subsystems Integration (APSI) project includes demonstrator engines for manned systems and efficient small-scale propulsion for remotely piloted aircraft and cruise missile applications. The demonstrator engines integrate the core (high- pressure spool) technology developed under  a joint multi-agency and aerospace industry project with the engine (low-pressure spool) technology such as fans, turbines, engine controls, mechanical systems, exhaust nozzles, and augmentors. Additionally, this project includes activities to improve propulsion safety and readiness. This project also focuses on integration of inlets, nozzles, engine-to-airframe compatibility, and power and thermal management subsystems technologies. The APSI project provides aircraft with potential for longer range and higher cruise speeds with lower specific fuel consumption, surge power for successful engagements, high sortie rates with reduced maintenance, reduced life cycle cost, and improved survivability, resulting in increased mission effectiveness. Technologies developed are applicable to sustained high-speed vehicles and responsive space launch. The Aircraft Propulsion Subsystems Integration project is focused on improving propulsion capabilities while at the same time reducing the cost of ownership. Anticipated technology advances include turbine engine improvements providing approximately twice the range for a sustained supersonic combat aircraft, doubling the time on station with ten times the power output for surveillance aircraft and propulsion for a high speed supersonic missile with double the range for time sensitive targets. A portion of this project supports the demonstration of adaptive cycle technologies, which develop component technology for an adaptive cycle engine architecture that provides optimized performance, fuel efficiency, high power extraction, integrated thermal management, and durability for widely varying mission needs.  This project includes the initiation and development of programs addressing DAF capability gaps and provides technologies for transformational future force capabilities. Transformational efforts will be identified through a competitive process and be responsive to DAF design priorities. Selected efforts will be designated as transformational, indicating enterprise-level priority.  In FY2023, Core Engine Technologies, High Pressure Ratio Core Engine Technologies, and Adaptive Turbine Engine Core Technology efforts transferred from Program 0603216F, Aerospace Propulsion & Power Technology, Project 63681B, Advanced Turbine Engine Gas Generator in order to effectively and efficiently align resources to Aerospace Systems Core Technical Competencies.",0.000,0.000,11.610,31.576,0.000,31.576,40.800,44.589,45.590,46.605
39,PE,0604004F,,Advanced Engine Development,04,,0.000,642.581,583.712,353.658,0.000,353.658,757.468,917.761,937.646,955.867
39,Project,0604004F,643608,Advanced Engine Dev,4,"The Advanced Engine Development Program enables demonstration of adaptive engine prototypes.  This program is maturing fuel efficient adaptive engine component technologies and reducing associated risk in preparation for next-generation propulsion system development for combat aircraft applications.  Adaptive engine technology enables next generation combat aircraft capabilities by combining the efficiency of high bypass turbofans used by commercial airlines with the performance demanded of military fighter engines.  This technology has undergone initial development under the auspices of the Air Force Research Laboratory through the Adaptive Versatile Engine Technology (ADVENT) and Adaptive Engine Technology Demonstrator (AETD) programs.  This program element may include necessary emergent or unanticipated civilian pay expenses required to manage, execute, and deliver weapon system capability.  The use of such program funds would be in addition to the civilian pay expenses budgeted in program element 0605827F, 0605828F, 0605829F, 0605831F, 0605832F, 0605833F, 0605898F, 0606398F.  In FY 2021 3.064 million was expended for civilian pay expenses in this program element, and in FY 2022 2.199 million is forecasted for civilian pay expenses in this program element.  This effort is in Budget Activity 4, Advanced Component Development and Prototypes (ACD&P), because efforts are necessary to evaluate integrated technologies, representative modes or prototype systems in a high fidelity and realistic operating environment.",0.000,642.581,583.712,353.658,0.000,353.658,757.468,917.761,937.646,955.867
177,PE,0207268F,,Aircraft Engine Component Improvement Program,07,"The Aircraft Engine Component Improvement Program (CIP) provides the only source of critical sustaining engineering support for in-service Air Force engines to maintain flight safety (highest priority), to correct deficiencies, improve system Operational Readiness (OR) and Reliability & Maintainability (R&M), reduce engine Life Cycle Cost (LCC), and sustain engines throughout their service life.  Past investments have reduced warfighter Class A rates and decreased Engine Related Loss of Aircraft (ERLOA) and generated significant returns on investments. Significant requirements for FY22 and FY23 include Accelerated Mission Tests (AMTs) required to qualify complex redesigns enabling fleet incorporation of the improvement and providing risk reduction of recently fielded redesigns that were qualified by analysis.  The AMT provides early identification of safety/reliability issues prior to the operational fleet experiencing the safety and/or reliability issue.  Ongoing tasks for this year support addressing obsolescence and Diminishing Manufacturing Sources and Material Shortage (DMSMS) issues on the TF33 engine (B-52 aircraft), developing critical repairs and extending life limited parts to avoid $220M on the F119 engine (F-22 aircraft) in preparation for its 2nd depot interval, conducting accelerated mission test on the F135 engine, and eliminating critical safety concerns with the J85 engine (T-38 aircraft).  Engine CIP provides the only means to develop solutions to safety issues, obsolescence, reliability, availability, maintainability, and affordability driven by changes in aircraft operational parameters and missions, usage, or age.  It also serves as the primary vehicle to implement emerging technology solutions to resolve these issues and improve engine performance.  Engines are accepted into the CIP program after the first procurement-funded engine and continues over the engine's life, gradually decreasing to a minimum level (safety/depot repairs) sufficient to keep older engines operational. Engine CIP testing identifies and fixes engine-related problems ahead of operational impacts. R&M related Engine CIP efforts significantly reduce out year Operations and Maintenance (O&M) and spares costs.  This program element may include necessary civilian pay expenses required to manage, execute, and deliver system capability.  The use of such programs funds would be in addition to the civilian pay expenses budgeted in program element 0605827F, 0605828F, 0605829F, 0605831F, 0605832F, 0605833F, 0605898F, 0606398F. For FY21 $0.00 was expended, and for FY22 $0.00M is forecast for civilian pay expenses in this program. element.  This program is in Budget Activity 7, Operational System Development because this budget activity includes development efforts to upgrade systems that have been fielded or have received approval for full rate production and anticipate production funding in the current or subsequent fiscal year.",0.000,121.206,115.715,116.087,0.000,116.087,3.671,17.314,13.097,90.541
177,Project,0207268F,671012,Aircraft Engine Component Improvement Program,7,"The Aircraft Engine Component Improvement Program (CIP) provides the only source of critical sustaining engineering support for in-service Air Force engines to maintain flight safety (highest priority), to correct deficiencies, improve system operational readiness (OR) and reliability & maintainability (R&M), reduce engine Life Cycle Cost (LCC), and sustain engines throughout their service life. Engine CIP directly addresses engine related causes to aircraft Non-Mission-Capability rates. Significant requirements for FY22 and FY23 include Accelerated Mission Tests (AMTs) required to qualify complex redesigns enabling fleet incorporation of the improvement and providing risk reduction of recently fielded redesigns that were qualified by analysis.  The AMT provides early identification of safety and reliability issues prior to the operational fleet experiencing the issue. Ongoing tasks for this year support addressing obsolescence and DMSMS issues on the TF33 engine (B-52 aircraft), developing critical repairs and extending life limited parts to avoid over $220M on the F119 engine (F-22 aircraft) program in preparations for its 2nd depot interval induction, and eliminating a safety concern with the J85 engine (T-38 aircraft).  Changes in aircraft operational parameters or missions accelerate the discovery of new engine issues and the need to resolve these issues. Engine CIP funding is driven by field events and types/maturity of engines, not by the total engine quantity. Engines are inducted into the program with government acceptance of the first procurement-funded engine and continues over the engine's life, gradually decreasing to a minimum level (safety/depot repairs) sufficient to keep older engines operational. Engine CIP testing identifies and fixes engine-related problems ahead of operational impacts. R&M related Engine CIP efforts significantly reduce out year Operations and Maintenance (O&M) and replacement spares costs.  Service-related engine deficiencies occur throughout the engine lifecycle. Given the uncertainty with regard to the number and timing of engine-related deficiencies, it is essential for the USAF to have adequate engineering capability, test capacity to rapidly respond to problems as they occur and absolutely paramount to reach SecDef directed 80% mission capability rate for F-22, F-16, and F-15 aircraft.  Minimal, if any, new tasks will be initiated in FY22/23.",0.000,93.644,75.754,86.538,0.000,86.538,3.671,17.314,13.097,49.379
177,Project,0207268F,675365,F135 Aircraft Engine Component Improvement Program,7,"The F135 Aircraft Engine Component Improvement Program (CIP) supports the F-35 single-engine fighter propulsion system.  It provides the only source of critical developmental engineering support for the F135 propulsion system.  F135 CIP maintains flight safety (highest priority), corrects service revealed deficiencies, improves system Operational Readiness (OR) and Reliability & Maintainability (R&M), reduces propulsion system Life Cycle Cost (LCC), and sustains the propulsion system throughout its service life. Historically, aircraft systems change missions, tactics, and environment (including new fuels) and meet changing threats throughout their lives.  New technical problems can develop in the propulsion system through actual use and the F135 CIP provides the means to develop fixes for these problems.  F135 CIP funding is driven by field events and type/maturity of the propulsion system, not by the total quantity of engines.  The program starts with government acceptance of the first procurement-funded engine and continues over the propulsion system's life, gradually decreasing to a minimum level (safety/depot repairs) sufficient to keep older engines operational.  F135 CIP, through ""Lead the Fleet"" operational use and accelerated mission testing, identifies and fixes propulsion-related problems ahead of operational impacts.  F135 CIP ensures continued improvements in R&M, which reduce out year support costs.  Historically, R&M related CIP efforts significantly reduce out year O&M and spares costs.",0.000,27.562,39.961,29.549,0.000,29.549,0.000,0.000,0.000,41.162
